time,google.accounts:num_users,google.accounts:drive_used_quota_in_mb
2019-01-01 05:00:00+00:00,102230,154627215.0
2019-01-02 05:00:00+00:00,102256,154744887.0
2019-01-03 05:00:00+00:00,102295,154758434.0
2019-01-04 05:00:00+00:00,102349,154789797.0
2019-01-05 05:00:00+00:00,102336,154794265.0
2019-01-06 05:00:00+00:00,102349,154814193.0
2019-01-07 05:00:00+00:00,102381,154839809.0
2019-01-08 05:00:00+00:00,102447,154852933.0
2019-01-09 05:00:00+00:00,102483,154907518.0
2019-01-10 05:00:00+00:00,102531,154870102.0
2019-01-11 05:00:00+00:00,102574,154887845.0
2019-01-12 05:00:00+00:00,102592,154885509.0
2019-01-13 05:00:00+00:00,102609,154900855.0
2019-01-14 05:00:00+00:00,102655,154946238.0
2019-01-15 05:00:00+00:00,102685,154973637.0
2019-01-16 05:00:00+00:00,102719,155060098.0
2019-01-17 05:00:00+00:00,102754,155147630.0
2019-01-18 05:00:00+00:00,102771,155246215.0
2019-01-19 05:00:00+00:00,102778,155261561.0
2019-01-20 05:00:00+00:00,102785,155285731.0
2019-01-21 05:00:00+00:00,102795,155312971.0
2019-01-22 05:00:00+00:00,102824,155385162.0
2019-01-23 05:00:00+00:00,102837,155541776.0
2019-01-24 05:00:00+00:00,102853,155615303.0
2019-01-25 05:00:00+00:00,102864,155699002.0
2019-01-26 05:00:00+00:00,102866,155548658.0
2019-01-27 05:00:00+00:00,102878,155582595.0
2019-01-28 05:00:00+00:00,102890,155643202.0
2019-01-29 05:00:00+00:00,102907,155792514.0
2019-01-30 05:00:00+00:00,102925,156143934.0
2019-01-31 05:00:00+00:00,102954,156301511.0
2019-02-01 05:00:00+00:00,102975,156400166.0
2019-02-02 05:00:00+00:00,102984,156467715.0
2019-02-03 05:00:00+00:00,102993,156526964.0
2019-02-04 05:00:00+00:00,103019,156671603.0
2019-02-05 05:00:00+00:00,103040,156793164.0
2019-02-06 05:00:00+00:00,103073,156977771.0
2019-02-07 05:00:00+00:00,103093,
2019-02-08 05:00:00+00:00,103102,
2019-02-09 05:00:00+00:00,103112,
2019-02-10 05:00:00+00:00,103121,
2019-02-11 05:00:00+00:00,103147,157368481.0
2019-02-12 05:00:00+00:00,103172,157600925.0
2019-02-13 05:00:00+00:00,103184,157696393.0
2019-02-14 05:00:00+00:00,103206,157858825.0
2019-02-15 05:00:00+00:00,103223,158054646.0
2019-02-16 05:00:00+00:00,103223,158064433.0
2019-02-17 05:00:00+00:00,103223,158140244.0
2019-02-18 05:00:00+00:00,103385,158371828.0
2019-02-19 05:00:00+00:00,103432,158548934.0
2019-02-20 05:00:00+00:00,103467,158857330.0
2019-02-21 05:00:00+00:00,103495,159065386.0
2019-02-22 05:00:00+00:00,103495,159066152.0
2019-02-23 05:00:00+00:00,103533,159080578.0
