time,google.accounts:num_1day_logins ,google.accounts:num_7day_logins,google.accounts:num_30day_logins
2015-03-23T00:00:00.000-0400,16814,21763,24022
2015-03-24T00:00:00.000-0400,16591,21666,24069
2015-03-25T00:00:00.000-0400,16502,21530,24086
2015-03-26T00:00:00.000-0400,16899,21559,24121
2015-03-27T00:00:00.000-0400,15964,21636,24125
2015-03-28T00:00:00.000-0400,13748,21637,24128
2015-03-29T00:00:00.000-0400,14600,21588,24076
2015-03-30T00:00:00.000-0400,17043,21651,24115
2015-03-31T00:00:00.000-0400,16782,21713,24130
2015-04-01T00:00:00.000-0400,16497,21675,24136
2015-04-02T00:00:00.000-0400,16056,21470,24128
2015-04-03T00:00:00.000-0400,13855,21195,24109
2015-04-04T00:00:00.000-0400,13351,21187,24097
2015-04-05T00:00:00.000-0400,14102,21147,24080
2015-04-06T00:00:00.000-0400,16583,21102,24148
2015-04-07T00:00:00.000-0400,17657,21296,24259
2015-04-08T00:00:00.000-0400,16459,21114,24258
2015-04-09T00:00:00.000-0400,16990,21396,24307
2015-04-10T00:00:00.000-0400,15945,21657,24332
2015-04-11T00:00:00.000-0400,13499,21704,24330
2015-04-12T00:00:00.000-0400,14584,21774,24354
2015-04-13T00:00:00.000-0400,17156,21983,24430
2015-04-14T00:00:00.000-0400,16822,22069,24498
2015-04-15T00:00:00.000-0400,16621,22130,24530
2015-04-16T00:00:00.000-0400,16268,21957,24553
2015-04-17T00:00:00.000-0400,15256,21827,24538
2015-04-18T00:00:00.000-0400,13375,21808,24500
2015-04-19T00:00:00.000-0400,14492,21814,24511
2015-04-20T00:00:00.000-0400,17186,21836,24561
2015-04-21T00:00:00.000-0400,17173,21972,24610
2015-04-22T00:00:00.000-0400,16710,21996,24629
2015-04-23T00:00:00.000-0400,16331,22058,24638
2015-04-24T00:00:00.000-0400,15096,22017,24615
2015-04-25T00:00:00.000-0400,13352,22019,24595
2015-04-26T00:00:00.000-0400,14285,22015,24584
2015-04-27T00:00:00.000-0400,16644,21951,24664
2015-04-28T00:00:00.000-0400,16124,21755,24733
2015-04-29T00:00:00.000-0400,15835,21658,24780
2015-04-30T00:00:00.000-0400,15784,21611,24846
2015-05-01T00:00:00.000-0400,15034,21669,24891
2015-05-02T00:00:00.000-0400,12896,21642,24885
2015-05-03T00:00:00.000-0400,13648,21626,24920
2015-05-04T00:00:00.000-0400,15787,21498,25018
2015-05-05T00:00:00.000-0400,15231,21425,25072
2015-05-06T00:00:00.000-0400,14990,21300,25146
2015-05-07T00:00:00.000-0400,14302,21117,25180
2015-05-08T00:00:00.000-0400,13502,20830,25166
2015-05-09T00:00:00.000-0400,11850,20739,25148
2015-05-10T00:00:00.000-0400,12068,20520,25135
2015-05-11T00:00:00.000-0400,14122,20202,25197
2015-05-12T00:00:00.000-0400,13910,19973,25245
2015-05-13T00:00:00.000-0400,13848,19747,25285
2015-05-14T00:00:00.000-0400,13796,19717,25327
2015-05-15T00:00:00.000-0400,13114,19669,25341
2015-05-16T00:00:00.000-0400,11519,19653,25313
2015-05-17T00:00:00.000-0400,11877,19674,25316
2015-05-18T00:00:00.000-0400,13902,19659,25391
2015-05-19T00:00:00.000-0400,13549,19609,25452
2015-05-20T00:00:00.000-0400,13380,19517,25423
2015-05-21T00:00:00.000-0400,13208,19420,25367
2015-05-22T00:00:00.000-0400,12601,19357,25299
