time,google.accounts:drive_used_quota_in_mb,google.accounts:gmail_used_quota_in_mb,google.accounts:gplus_photos_used_quota_in_mb
2015-03-23T00:00:00.000-0400,9537833,29158045,659544
2015-03-24T00:00:00.000-0400,9642866,29226034,660147
2015-03-25T00:00:00.000-0400,9685497,29267718,660152
2015-03-26T00:00:00.000-0400,9712510,29295719,661905
2015-03-27T00:00:00.000-0400,9730366,29312749,662475
2015-03-28T00:00:00.000-0400,9766534,29319137,662552
2015-03-29T00:00:00.000-0400,9791033,29328851,662753
2015-03-30T00:00:00.000-0400,9822766,29378945,663046
2015-03-31T00:00:00.000-0400,9885330,29418071,663140
2015-04-01T00:00:00.000-0400,9971170,29455098,663921
2015-04-02T00:00:00.000-0400,10006753,29480594,663595
2015-04-03T00:00:00.000-0400,10028114,29481373,664366
2015-04-04T00:00:00.000-0400,10042509,29481906,664516
2015-04-05T00:00:00.000-0400,10067408,29489830,665634
2015-04-06T00:00:00.000-0400,10180395,29531580,665763
2015-04-07T00:00:00.000-0400,10230812,29576623,666296
2015-04-08T00:00:00.000-0400,10273205,29617170,666154
2015-04-09T00:00:00.000-0400,10500615,29653106,666233
2015-04-10T00:00:00.000-0400,10533826,29686161,666323
2015-04-11T00:00:00.000-0400,10557748,29693657,666656
2015-04-12T00:00:00.000-0400,10576395,29711656,667937
2015-04-13T00:00:00.000-0400,10651612,29798571,668011
2015-04-14T00:00:00.000-0400,10707231,29854908,668242
2015-04-15T00:00:00.000-0400,10745728,29907766,668833
2015-04-16T00:00:00.000-0400,10801104,29949956,669015
2015-04-17T00:00:00.000-0400,10826705,29970530,669131
2015-04-18T00:00:00.000-0400,10839251,29972322,669743
2015-04-19T00:00:00.000-0400,10872259,29983306,669814
2015-04-20T00:00:00.000-0400,10924652,30011873,670209
2015-04-21T00:00:00.000-0400,10951990,30064038,670031
2015-04-22T00:00:00.000-0400,11036075,30099061,670795
2015-04-23T00:00:00.000-0400,11127441,30124857,671686
2015-04-24T00:00:00.000-0400,11276924,30146812,671773
2015-04-25T00:00:00.000-0400,11301240,30158033,671915
2015-04-26T00:00:00.000-0400,11355422,30170597,671817
2015-04-27T00:00:00.000-0400,11383794,30207816,672080
2015-04-28T00:00:00.000-0400,11467821,30243727,672218
2015-04-29T00:00:00.000-0400,11569367,30283246,671914
2015-04-30T00:00:00.000-0400,11644033,30306778,671989
2015-05-01T00:00:00.000-0400,11738562,30322056,672146
2015-05-02T00:00:00.000-0400,11770266,30325331,672315
2015-05-03T00:00:00.000-0400,11850381,30331655,672763
2015-05-04T00:00:00.000-0400,12163050,30361515,672907
2015-05-05T00:00:00.000-0400,12212798,33067038,673234
2015-05-06T00:00:00.000-0400,12351257,36837106,673999
2015-05-07T00:00:00.000-0400,12449712,37306204,674447
2015-05-08T00:00:00.000-0400,12471299,37809163,675336
2015-05-09T00:00:00.000-0400,12489640,38237473,675412
2015-05-10T00:00:00.000-0400,12507706,38636721,675569
2015-05-11T00:00:00.000-0400,12521115,38901532,675796
2015-05-12T00:00:00.000-0400,12550590,39288528,675800
2015-05-13T00:00:00.000-0400,12572926,39633867,677407
2015-05-14T00:00:00.000-0400,12614562,40031237,678320
2015-05-15T00:00:00.000-0400,12651717,40461215,678467
2015-05-16T00:00:00.000-0400,12376102,40883773,679436
2015-05-17T00:00:00.000-0400,12393008,41307069,679633
2015-05-18T00:00:00.000-0400,12422479,41643752,679719
2015-05-19T00:00:00.000-0400,12499542,42011390,679520
2015-05-20T00:00:00.000-0400,12506895,42475209,679771
