time,google.accounts:num_users,google.accounts:num_disabled_accounts,google.accounts:num_suspended_users
2015-03-23T00:00:00.000-0400,63991,34125,34123
2015-03-24T00:00:00.000-0400,64051,34126,34125
2015-03-25T00:00:00.000-0400,64115,34112,34112
2015-03-26T00:00:00.000-0400,64155,34110,34110
2015-03-27T00:00:00.000-0400,64177,34126,34124
2015-03-28T00:00:00.000-0400,64206,34130,34128
2015-03-29T00:00:00.000-0400,64232,34120,34118
2015-03-30T00:00:00.000-0400,64287,34111,34111
2015-03-31T00:00:00.000-0400,64340,34111,34111
2015-04-01T00:00:00.000-0400,64396,34110,34110
2015-04-02T00:00:00.000-0400,64442,34100,34098
2015-04-03T00:00:00.000-0400,64463,34101,34099
2015-04-04T00:00:00.000-0400,64487,34094,34094
2015-04-05T00:00:00.000-0400,64514,34095,34095
2015-04-06T00:00:00.000-0400,64568,34097,34097
2015-04-07T00:00:00.000-0400,64646,34102,34100
2015-04-08T00:00:00.000-0400,64683,34100,34098
2015-04-09T00:00:00.000-0400,64748,34093,34091
2015-04-10T00:00:00.000-0400,64813,34092,34088
2015-04-11T00:00:00.000-0400,64854,34116,34112
2015-04-12T00:00:00.000-0400,64880,34078,34078
2015-04-13T00:00:00.000-0400,64943,34080,34080
2015-04-14T00:00:00.000-0400,65015,34080,34080
2015-04-15T00:00:00.000-0400,65075,34082,34082
2015-04-16T00:00:00.000-0400,65115,34075,34075
2015-04-17T00:00:00.000-0400,65154,34073,34073
2015-04-18T00:00:00.000-0400,65175,34098,34098
2015-04-19T00:00:00.000-0400,65216,34081,34080
2015-04-20T00:00:00.000-0400,65270,34072,34072
2015-04-21T00:00:00.000-0400,68822,37551,37551
2015-04-22T00:00:00.000-0400,68887,37552,37552
2015-04-23T00:00:00.000-0400,68925,37547,37547
2015-04-24T00:00:00.000-0400,68965,37545,37545
2015-04-25T00:00:00.000-0400,68990,37545,37545
2015-04-26T00:00:00.000-0400,69023,37545,37544
2015-04-27T00:00:00.000-0400,69081,37550,37550
2015-04-28T00:00:00.000-0400,69138,37544,37544
2015-04-29T00:00:00.000-0400,69203,37540,37539
2015-04-30T00:00:00.000-0400,69275,37523,37523
2015-05-01T00:00:00.000-0400,69330,37519,37519
2015-05-02T00:00:00.000-0400,69352,37520,37519
2015-05-03T00:00:00.000-0400,69380,37518,37516
2015-05-04T00:00:00.000-0400,69451,37519,37519
2015-05-05T00:00:00.000-0400,69508,37513,37513
2015-05-06T00:00:00.000-0400,69560,37532,37531
2015-05-07T00:00:00.000-0400,69613,37517,37517
2015-05-08T00:00:00.000-0400,69645,37486,37485
2015-05-09T00:00:00.000-0400,69664,37484,37483
2015-05-10T00:00:00.000-0400,69688,37488,37487
2015-05-11T00:00:00.000-0400,69750,37480,37478
2015-05-12T00:00:00.000-0400,69824,37490,37487
2015-05-13T00:00:00.000-0400,69900,37476,37475
2015-05-14T00:00:00.000-0400,69968,37469,37467
2015-05-15T00:00:00.000-0400,70020,37465,37464
2015-05-16T00:00:00.000-0400,70035,37443,37443
2015-05-17T00:00:00.000-0400,70063,37444,37443
2015-05-18T00:00:00.000-0400,70125,37440,37437
2015-05-19T00:00:00.000-0400,70189,37451,37445
2015-05-20T00:00:00.000-0400,70231,37446,37438
2015-05-21T00:00:00.000-0400,70273,37876,37869
2015-05-22T00:00:00.000-0400,70306,37879,37871
2015-05-23T00:00:00.000-0400,70319,37883,37871
2015-05-24T00:00:00.000-0400,70335,37856,37856
2015-05-25T00:00:00.000-0400,70360,37859,37855
2015-05-26T00:00:00.000-0400,70417,37856,37853
2015-05-27T00:00:00.000-0400,70470,37852,37849
2015-05-28T00:00:00.000-0400,70517,37850,37849
2015-05-29T00:00:00.000-0400,70570,37855,37854
2015-05-30T00:00:00.000-0400,70588,37856,37854
2015-05-31T00:00:00.000-0400,70608,37851,37850
