,time,metric_name,metric_value
0,2015-03-23T00:00:00.000-0400,google.accounts:drive_used_quota_in_mb,9537833
1,2015-03-23T00:00:00.000-0400,google.accounts:gmail_used_quota_in_mb,29158045
2,2015-03-23T00:00:00.000-0400,google.accounts:gplus_photos_used_quota_in_mb,659544
3,2015-03-23T00:00:00.000-0400,google.accounts:num_1day_logins,16814
4,2015-03-23T00:00:00.000-0400,google.accounts:num_30day_logins,24022
5,2015-03-23T00:00:00.000-0400,google.accounts:num_7day_logins,21763
6,2015-03-23T00:00:00.000-0400,google.accounts:num_authorized_apps,2393
7,2015-03-23T00:00:00.000-0400,google.accounts:num_delegated_admins,25
8,2015-03-23T00:00:00.000-0400,google.accounts:num_disabled_accounts,34125
9,2015-03-23T00:00:00.000-0400,google.accounts:num_locked_users,2
10,2015-03-23T00:00:00.000-0400,google.accounts:num_super_admins,11
11,2015-03-23T00:00:00.000-0400,google.accounts:num_suspended_users,34123
12,2015-03-23T00:00:00.000-0400,google.accounts:num_users,63991
13,2015-03-23T00:00:00.000-0400,google.accounts:num_users_2sv_enforced,0
14,2015-03-23T00:00:00.000-0400,google.accounts:num_users_2sv_enrolled,0
15,2015-03-23T00:00:00.000-0400,google.accounts:num_users_2sv_enrolled_and_enforced,0
16,2015-03-23T00:00:00.000-0400,google.accounts:num_users_2sv_not_enforced,63991
17,2015-03-23T00:00:00.000-0400,google.accounts:num_users_2sv_not_enrolled,63991
18,2015-03-23T00:00:00.000-0400,google.accounts:num_users_2sv_not_enrolled_and_not_enforced,63991
19,2015-03-23T00:00:00.000-0400,google.accounts:num_users_2sv_not_enrolled_but_enforced,0
20,2015-03-23T00:00:00.000-0400,google.accounts:num_users_used_quota_lt_50percent,0
21,2015-03-23T00:00:00.000-0400,google.accounts:total_quota_in_mb,-63989
22,2015-03-23T00:00:00.000-0400,google.accounts:used_quota_in_mb,39362117
23,2015-03-23T00:00:00.000-0400,google.calendar:num_1day_active_users,2197
