time,emails_received,emails_sent,inbound_rejected_emails,inbound_spam_emails,inbound_non_spam_emails
2015-03-23 04:00:00+00:00,474483.0,52537.0,2.0,31718.0,177446.0
2015-03-24 04:00:00+00:00,378195.0,48970.0,6.0,50873.0,163005.0
2015-03-25 04:00:00+00:00,423666.0,48640.0,6.0,49373.0,155603.0
2015-03-26 04:00:00+00:00,405663.0,45833.0,790.0,46494.0,158907.0
2015-03-27 04:00:00+00:00,342226.0,37168.0,13.0,34066.0,137505.0
2015-03-28 04:00:00+00:00,154766.0,10934.0,6.0,22205.0,97453.0
2015-03-29 04:00:00+00:00,162389.0,17119.0,9.0,22798.0,87480.0
2015-03-30 04:00:00+00:00,407661.0,54089.0,10.0,47344.0,171697.0
2015-03-31 04:00:00+00:00,465110.0,51526.0,6.0,97464.0,183266.0
2015-04-01 04:00:00+00:00,458547.0,48943.0,1.0,86834.0,200740.0
2015-04-02 04:00:00+00:00,416215.0,41540.0,26.0,81486.0,175475.0
2015-04-03 04:00:00+00:00,229770.0,12800.0,2.0,61570.0,104476.0
2015-04-04 04:00:00+00:00,179073.0,7714.0,1.0,50293.0,81546.0
2015-04-05 04:00:00+00:00,170281.0,11527.0,1.0,43026.0,82669.0
2015-04-06 04:00:00+00:00,432057.0,51236.0,1.0,76113.0,179560.0
2015-04-07 04:00:00+00:00,487580.0,51187.0,8.0,89607.0,185036.0
2015-04-08 04:00:00+00:00,464652.0,49218.0,69.0,81119.0,160120.0
2015-04-09 04:00:00+00:00,451389.0,46183.0,4.0,75769.0,166550.0
2015-04-10 04:00:00+00:00,387202.0,34294.0,17.0,73784.0,138161.0
2015-04-11 04:00:00+00:00,179285.0,9166.0,2.0,52432.0,82246.0
2015-04-12 04:00:00+00:00,296503.0,16199.0,3.0,41575.0,194784.0
2015-04-13 04:00:00+00:00,516051.0,50299.0,5.0,78788.0,220427.0
2015-04-14 04:00:00+00:00,463036.0,49025.0,18.0,120077.0,189127.0
2015-04-15 04:00:00+00:00,560284.0,46770.0,3.0,91898.0,183165.0
2015-04-16 04:00:00+00:00,438346.0,42551.0,8.0,95096.0,162912.0
2015-04-17 04:00:00+00:00,371755.0,32553.0,6.0,76990.0,142922.0
2015-04-18 04:00:00+00:00,191030.0,9859.0,1.0,54211.0,82809.0
2015-04-19 04:00:00+00:00,212021.0,17671.0,0.0,51669.0,95146.0
2015-04-20 04:00:00+00:00,449091.0,53447.0,5.0,77891.0,158302.0
2015-04-21 04:00:00+00:00,483740.0,49280.0,7.0,82209.0,180870.0
2015-04-22 04:00:00+00:00,448627.0,47887.0,20.0,72745.0,172252.0
2015-04-23 04:00:00+00:00,402551.0,43982.0,2.0,71660.0,176179.0
2015-04-24 04:00:00+00:00,440238.0,34155.0,18.0,110033.0,175479.0
2015-04-25 04:00:00+00:00,215006.0,11463.0,2.0,80143.0,83635.0
2015-04-26 04:00:00+00:00,222972.0,18002.0,3.0,57932.0,94539.0
2015-04-27 04:00:00+00:00,477165.0,50191.0,9.0,97394.0,164128.0
2015-04-28 04:00:00+00:00,542098.0,44712.0,3.0,107130.0,221400.0
2015-04-29 04:00:00+00:00,424910.0,40223.0,37.0,102255.0,164774.0
2015-04-30 04:00:00+00:00,455645.0,39041.0,112.0,116598.0,206409.0
2015-05-01 04:00:00+00:00,378025.0,31153.0,170.0,127402.0,146498.0
2015-05-02 04:00:00+00:00,185623.0,9683.0,93.0,67524.0,85455.0
2015-05-03 04:00:00+00:00,195763.0,12802.0,68.0,69745.0,86473.0
2015-05-04 04:00:00+00:00,472850.0,41804.0,1219.0,125676.0,214643.0
2015-05-05 04:00:00+00:00,422743.0,36418.0,17726.0,107828.0,202178.0
2015-05-06 04:00:00+00:00,409237.0,35390.0,46213.0,45895.0,231764.0
2015-05-07 04:00:00+00:00,280535.0,28579.0,38195.0,34711.0,189294.0
2015-05-08 04:00:00+00:00,243377.0,21464.0,39795.0,32630.0,164862.0
2015-05-09 04:00:00+00:00,119909.0,5556.0,21913.0,28468.0,100467.0
2015-05-10 04:00:00+00:00,114018.0,5900.0,18432.0,22402.0,96063.0
2015-05-11 04:00:00+00:00,259651.0,27056.0,43921.0,34051.0,176598.0
2015-05-12 04:00:00+00:00,266578.0,26579.0,36539.0,36791.0,180713.0
2015-05-13 04:00:00+00:00,244049.0,24511.0,39761.0,44658.0,175428.0
2015-05-14 04:00:00+00:00,251441.0,23962.0,42946.0,51927.0,182266.0
2015-05-15 04:00:00+00:00,209909.0,20445.0,36788.0,31984.0,157439.0
2015-05-16 04:00:00+00:00,103340.0,4737.0,26712.0,16089.0,101078.0
2015-05-17 04:00:00+00:00,103859.0,5835.0,19722.0,16483.0,94342.0
2015-05-18 04:00:00+00:00,282862.0,25607.0,32269.0,50188.0,182621.0
2015-05-19 04:00:00+00:00,287727.0,24532.0,47722.0,63223.0,192850.0
2015-05-20 04:00:00+00:00,245951.0,23448.0,31834.0,37890.0,167093.0
2015-05-21 04:00:00+00:00,293526.0,21929.0,33398.0,43637.0,166702.0
2015-05-22 04:00:00+00:00,237056.0,16304.0,29939.0,35899.0,158912.0
2015-05-23 04:00:00+00:00,99305.0,4101.0,14640.0,17909.0,84143.0
2015-05-24 04:00:00+00:00,95633.0,4077.0,15061.0,19589.0,80767.0
2015-05-25 04:00:00+00:00,156101.0,6236.0,37125.0,36776.0,130017.0
2015-05-26 04:00:00+00:00,213140.0,17560.0,51665.0,35155.0,200826.0
2015-05-27 04:00:00+00:00,252986.0,23421.0,34039.0,43433.0,174143.0
2015-05-28 04:00:00+00:00,232696.0,25451.0,34578.0,34985.0,171518.0
2015-05-29 04:00:00+00:00,228725.0,21753.0,35297.0,32878.0,181808.0
2015-05-30 04:00:00+00:00,111589.0,4891.0,24703.0,24224.0,97232.0
2015-05-31 04:00:00+00:00,130241.0,6607.0,25276.0,21096.0,102670.0
2015-06-01 04:00:00+00:00,246206.0,28904.0,32791.0,35351.0,167674.0
2015-06-02 04:00:00+00:00,259058.0,28707.0,38841.0,44979.0,180582.0
2015-06-03 04:00:00+00:00,237324.0,28381.0,29763.0,40605.0,158094.0
2015-06-04 04:00:00+00:00,229820.0,25478.0,27551.0,35514.0,161334.0
2015-06-05 04:00:00+00:00,214744.0,20491.0,25948.0,32921.0,155853.0
2015-06-06 04:00:00+00:00,118117.0,4485.0,26680.0,33836.0,93762.0
2015-06-07 04:00:00+00:00,133557.0,5719.0,38868.0,43462.0,117969.0
2015-06-08 04:00:00+00:00,281044.0,27591.0,44602.0,63834.0,183658.0
2015-06-09 04:00:00+00:00,245049.0,27215.0,29704.0,37958.0,169851.0
2015-06-10 04:00:00+00:00,271003.0,26618.0,65275.0,39393.0,207474.0
2015-06-11 04:00:00+00:00,235530.0,23764.0,40563.0,44621.0,183107.0
2015-06-12 04:00:00+00:00,204542.0,20283.0,40963.0,33491.0,156583.0
2015-06-13 04:00:00+00:00,106838.0,4708.0,16175.0,23778.0,86286.0
2015-06-14 04:00:00+00:00,113430.0,6336.0,17882.0,20379.0,96406.0
2015-06-15 04:00:00+00:00,273378.0,27584.0,29374.0,38371.0,175512.0
2015-06-16 04:00:00+00:00,259020.0,26783.0,37345.0,52095.0,182677.0
2015-06-17 04:00:00+00:00,271533.0,25818.0,61797.0,73341.0,191123.0
2015-06-18 04:00:00+00:00,251813.0,23706.0,45066.0,47660.0,184450.0
2015-06-19 04:00:00+00:00,205995.0,19801.0,39734.0,36498.0,154636.0
2015-06-20 04:00:00+00:00,105773.0,4261.0,18066.0,24783.0,87629.0
2015-06-21 04:00:00+00:00,108415.0,4701.0,19014.0,24867.0,92317.0
2015-06-22 04:00:00+00:00,244282.0,25890.0,47629.0,44599.0,169461.0
2015-06-23 04:00:00+00:00,265811.0,25469.0,40381.0,53373.0,195589.0
2015-06-24 04:00:00+00:00,251599.0,24312.0,33600.0,55266.0,167689.0
2015-06-25 04:00:00+00:00,266317.0,24857.0,32432.0,54827.0,163705.0
2015-06-26 04:00:00+00:00,196936.0,17748.0,33895.0,39772.0,142823.0
2015-06-27 04:00:00+00:00,112939.0,4514.0,22621.0,33206.0,89847.0
2015-06-28 04:00:00+00:00,113534.0,5397.0,20726.0,31954.0,87373.0
2015-06-29 04:00:00+00:00,256999.0,25121.0,31780.0,56393.0,168326.0
2015-06-30 04:00:00+00:00,249322.0,24059.0,34180.0,52666.0,161516.0
2015-07-01 04:00:00+00:00,259754.0,23637.0,43220.0,43970.0,172377.0
2015-07-02 04:00:00+00:00,243277.0,19156.0,43663.0,55651.0,160909.0
2015-07-03 04:00:00+00:00,142343.0,5634.0,40418.0,49958.0,117250.0
2015-07-04 04:00:00+00:00,118415.0,2874.0,31204.0,45560.0,93328.0
2015-07-05 04:00:00+00:00,113000.0,4298.0,18015.0,38214.0,80792.0
2015-07-06 04:00:00+00:00,225571.0,24475.0,42639.0,46890.0,150185.0
2015-07-07 04:00:00+00:00,273171.0,25546.0,38145.0,52035.0,164009.0
2015-07-08 04:00:00+00:00,252541.0,25957.0,45615.0,67117.0,156124.0
2015-07-09 04:00:00+00:00,243318.0,23678.0,47192.0,53982.0,159194.0
2015-07-10 04:00:00+00:00,207984.0,19865.0,36444.0,46560.0,146159.0
2015-07-11 04:00:00+00:00,94981.0,4549.0,24216.0,20575.0,85014.0
2015-07-12 04:00:00+00:00,126781.0,5751.0,33561.0,47725.0,93403.0
2015-07-13 04:00:00+00:00,241786.0,25993.0,48751.0,53984.0,161330.0
2015-07-14 04:00:00+00:00,286417.0,26530.0,53233.0,70862.0,193354.0
2015-07-15 04:00:00+00:00,265957.0,26502.0,46176.0,66149.0,170023.0
2015-07-16 04:00:00+00:00,248773.0,31679.0,39819.0,47381.0,177417.0
2015-07-17 04:00:00+00:00,224937.0,23372.0,37922.0,57722.0,155881.0
2015-07-18 04:00:00+00:00,114235.0,4838.0,31112.0,31484.0,98138.0
2015-07-19 04:00:00+00:00,149711.0,7829.0,79237.0,48657.0,154349.0
2015-07-20 04:00:00+00:00,269873.0,29198.0,45902.0,62629.0,168153.0
2015-07-21 04:00:00+00:00,266563.0,28241.0,52053.0,63248.0,188894.0
2015-07-22 04:00:00+00:00,253746.0,29665.0,52348.0,58785.0,176243.0
2015-07-24 04:00:00+00:00,209996.0,19657.0,41536.0,40821.0,148781.0
2015-07-25 04:00:00+00:00,105688.0,5312.0,18289.0,24175.0,84653.0
2015-07-26 04:00:00+00:00,121041.0,5061.0,26961.0,36610.0,97080.0
2015-07-27 04:00:00+00:00,259667.0,27060.0,40577.0,48792.0,164183.0
2015-07-28 04:00:00+00:00,266985.0,27648.0,53511.0,52298.0,195308.0
2015-07-29 04:00:00+00:00,250091.0,26549.0,44311.0,51380.0,162326.0
2015-07-30 04:00:00+00:00,302466.0,24603.0,50211.0,71065.0,181582.0
2015-07-31 04:00:00+00:00,216859.0,19919.0,31235.0,37770.0,150711.0
2015-08-01 04:00:00+00:00,125011.0,4879.0,18450.0,39596.0,86492.0
2015-08-02 04:00:00+00:00,125257.0,5560.0,13519.0,44182.0,80413.0
2015-08-03 04:00:00+00:00,273203.0,28955.0,41886.0,70518.0,167844.0
2015-08-04 04:00:00+00:00,312358.0,29552.0,47425.0,58363.0,190594.0
2015-08-05 04:00:00+00:00,311111.0,29408.0,44794.0,59128.0,188852.0
2015-08-06 04:00:00+00:00,280316.0,28648.0,41586.0,73771.0,179125.0
2015-08-07 04:00:00+00:00,240826.0,23252.0,40220.0,44813.0,157924.0
2015-08-08 04:00:00+00:00,113661.0,5770.0,22309.0,21916.0,95298.0
2015-08-09 04:00:00+00:00,122199.0,7042.0,14830.0,29332.0,89374.0
2015-08-10 04:00:00+00:00,261720.0,33994.0,42856.0,41942.0,173685.0
2015-08-11 04:00:00+00:00,312434.0,37823.0,44930.0,54167.0,202689.0
2015-08-12 04:00:00+00:00,295855.0,34505.0,43178.0,60892.0,177562.0
2015-08-13 04:00:00+00:00,335594.0,35293.0,39116.0,57388.0,184131.0
2015-08-14 04:00:00+00:00,277236.0,30050.0,44868.0,45591.0,189700.0
2015-08-15 04:00:00+00:00,213429.0,8912.0,16459.0,21812.0,173327.0
2015-08-16 04:00:00+00:00,164022.0,13184.0,22203.0,29616.0,118029.0
2015-08-17 04:00:00+00:00,408816.0,48190.0,52151.0,56517.0,231714.0
2015-08-18 04:00:00+00:00,415732.0,46110.0,62347.0,57449.0,293161.0
2015-08-19 04:00:00+00:00,473044.0,44607.0,55796.0,68112.0,256802.0
2015-08-20 04:00:00+00:00,399135.0,41846.0,40722.0,49955.0,247549.0
