day,emails_received
2015/03/23,474483.0
2015/03/24,378195.0
2015/03/25,423666.0
2015/03/26,405663.0
2015/03/27,342226.0
2015/03/28,154766.0
2015/03/29,162389.0
2015/03/30,407661.0
2015/03/31,465110.0
2015/04/01,458547.0
2015/04/02,416215.0
2015/04/03,229770.0
2015/04/04,179073.0
2015/04/05,170281.0
2015/04/06,432057.0
2015/04/07,487580.0
2015/04/08,464652.0
2015/04/09,451389.0
2015/04/10,387202.0
2015/04/11,179285.0
2015/04/12,296503.0
2015/04/13,516051.0
2015/04/14,463036.0
2015/04/15,560284.0
2015/04/16,438346.0
2015/04/17,371755.0
2015/04/18,191030.0
2015/04/19,212021.0
2015/04/20,449091.0
2015/04/21,483740.0
2015/04/22,448627.0
2015/04/23,402551.0
2015/04/24,440238.0
2015/04/25,215006.0
2015/04/26,222972.0
2015/04/27,477165.0
2015/04/28,542098.0
2015/04/29,424910.0
2015/04/30,455645.0
2015/05/01,378025.0
2015/05/02,185623.0
2015/05/03,195763.0
2015/05/04,472850.0
2015/05/05,422743.0
2015/05/06,409237.0
2015/05/07,280535.0
2015/05/08,243377.0
2015/05/09,119909.0
2015/05/10,114018.0
2015/05/11,259651.0
2015/05/12,266578.0
2015/05/13,244049.0
2015/05/14,251441.0
2015/05/15,209909.0
2015/05/16,103340.0
2015/05/17,103859.0
2015/05/18,282862.0
2015/05/19,287727.0
2015/05/20,245951.0
2015/05/21,293526.0
2015/05/22,237056.0
2015/05/23,99305.0
2015/05/24,95633.0
2015/05/25,156101.0
2015/05/26,213140.0
2015/05/27,252986.0
2015/05/28,232696.0
2015/05/29,228725.0
2015/05/30,111589.0
2015/05/31,130241.0
2015/06/01,246206.0
2015/06/02,259058.0
2015/06/03,237324.0
2015/06/04,229820.0
2015/06/05,214744.0
2015/06/06,118117.0
2015/06/07,133557.0
2015/06/08,281044.0
2015/06/09,245049.0
2015/06/10,271003.0
2015/06/11,235530.0
2015/06/12,204542.0
2015/06/13,106838.0
2015/06/14,113430.0
2015/06/15,273378.0
2015/06/16,259020.0
2015/06/17,271533.0
2015/06/18,251813.0
2015/06/19,205995.0
2015/06/20,105773.0
2015/06/21,108415.0
2015/06/22,244282.0
2015/06/23,265811.0
2015/06/24,251599.0
2015/06/25,266317.0
2015/06/26,196936.0
2015/06/27,112939.0
2015/06/28,113534.0
2015/06/29,256999.0
2015/06/30,249322.0
2015/07/01,259754.0
2015/07/02,243277.0
2015/07/03,142343.0
2015/07/04,118415.0
2015/07/05,113000.0
2015/07/06,225571.0
2015/07/07,273171.0
2015/07/08,252541.0
2015/07/09,243318.0
2015/07/10,207984.0
2015/07/11,94981.0
2015/07/12,126781.0
2015/07/13,241786.0
2015/07/14,286417.0
2015/07/15,265957.0
2015/07/16,248773.0
2015/07/17,224937.0
2015/07/18,114235.0
2015/07/19,149711.0
2015/07/20,269873.0
2015/07/21,266563.0
2015/07/22,253746.0
2015/07/23,0.0
2015/07/24,209996.0
2015/07/25,105688.0
2015/07/26,121041.0
2015/07/27,259667.0
2015/07/28,266985.0
2015/07/29,250091.0
2015/07/30,302466.0
2015/07/31,216859.0
2015/08/01,125011.0
2015/08/02,125257.0
2015/08/03,273203.0
2015/08/04,312358.0
2015/08/05,311111.0
2015/08/06,280316.0
2015/08/07,240826.0
2015/08/08,113661.0
2015/08/09,122199.0
2015/08/10,261720.0
2015/08/11,312434.0
2015/08/12,295855.0
2015/08/13,335594.0
2015/08/14,277236.0
2015/08/15,213429.0
2015/08/16,164022.0
2015/08/17,408816.0
2015/08/18,415732.0
2015/08/19,473044.0
2015/08/20,399135.0
2015/08/21,304307.0
2015/08/22,205072.0
2015/08/23,179475.0
2015/08/24,443684.0
2015/08/25,377874.0
2015/08/26,387527.0
2015/08/27,410671.0
2015/08/28,306582.0
2015/08/29,142362.0
2015/08/30,159030.0
2015/08/31,395535.0
2015/09/01,395216.0
2015/09/02,543780.0
2015/09/03,417377.0
2015/09/04,295389.0
2015/09/05,247810.0
2015/09/06,145926.0
2015/09/07,185427.0
2015/09/08,406744.0
2015/09/09,461602.0
2015/09/10,409116.0
2015/09/11,327533.0
2015/09/12,156762.0
2015/09/13,169879.0
2015/09/14,528792.0
2015/09/15,410131.0
2015/09/16,465302.0
2015/09/17,368173.0
2015/09/18,335002.0
2015/09/19,175896.0
2015/09/20,171126.0
2015/09/21,436614.0
2015/09/22,357392.0
2015/09/23,337946.0
2015/09/24,350286.0
2015/09/25,322828.0
2015/09/26,159689.0
2015/09/27,175218.0
2015/09/28,416377.0
2015/09/29,366372.0
2015/09/30,462418.0
2015/10/01,366866.0
2015/10/02,340270.0
2015/10/03,153506.0
2015/10/04,164816.0
2015/10/05,427066.0
2015/10/06,373344.0
2015/10/07,382173.0
2015/10/08,388297.0
2015/10/09,266701.0
2015/10/10,144988.0
2015/10/11,141124.0
2015/10/12,265398.0
2015/10/13,349299.0
2015/10/14,471986.0
2015/10/15,376050.0
2015/10/16,314924.0
2015/10/17,137529.0
2015/10/18,165746.0
2015/10/19,432531.0
2015/10/20,398968.0
2015/10/21,392275.0
2015/10/22,362514.0
2015/10/23,301689.0
2015/10/24,141866.0
2015/10/25,175945.0
2015/10/26,450978.0
2015/10/27,407230.0
2015/10/28,376814.0
2015/10/29,372820.0
2015/10/30,290222.0
2015/10/31,150680.0
2015/11/01,194863.0
2015/11/02,396246.0
2015/11/03,365810.0
2015/11/04,394626.0
2015/11/05,369589.0
2015/11/06,361960.0
2015/11/07,162061.0
2015/11/08,187159.0
2015/11/09,424431.0
2015/11/10,116748.0
2015/11/11,262159.0
2015/11/12,385769.0
2015/11/13,308056.0
2015/11/14,143880.0
2015/11/15,176308.0
2015/11/16,471836.0
2015/11/17,420060.0
2015/11/18,402593.0
2015/11/19,361778.0
2015/11/20,304059.0
2015/11/21,188841.0
2015/11/22,193697.0
2015/11/23,455820.0
2015/11/24,382152.0
2015/11/25,272040.0
2015/11/26,182318.0
2015/11/27,241378.0
2015/11/28,169367.0
2015/11/29,220174.0
2015/11/30,524409.0
2015/12/01,472386.0
2015/12/02,345675.0
2015/12/03,349448.0
2015/12/04,295130.0
2015/12/05,161780.0
2015/12/06,163309.0
2015/12/07,340444.0
2015/12/08,327179.0
2015/12/09,348445.0
2015/12/10,297925.0
2015/12/11,243025.0
2015/12/12,137451.0
2015/12/13,131006.0
2015/12/14,289686.0
2015/12/15,296714.0
2015/12/16,266341.0
2015/12/17,287127.0
2015/12/18,229985.0
2015/12/19,123322.0
2015/12/20,128534.0
2015/12/21,242707.0
2015/12/22,212822.0
2015/12/23,200794.0
2015/12/24,151788.0
2015/12/25,99397.0
2015/12/26,116458.0
2015/12/27,109855.0
2015/12/28,173023.0
2015/12/29,161795.0
2015/12/30,171303.0
2015/12/31,168201.0
2016/01/01,127850.0
2016/01/02,111598.0
2016/01/03,114815.0
2016/01/04,279959.0
2016/01/05,311714.0
2016/01/06,319315.0
2016/01/07,306112.0
2016/01/08,279944.0
2016/01/09,137592.0
2016/01/10,175506.0
2016/01/11,440051.0
2016/01/12,400254.0
2016/01/13,400812.0
2016/01/14,371110.0
2016/01/15,319903.0
2016/01/16,149240.0
2016/01/17,155338.0
2016/01/18,233373.0
2016/01/19,454758.0
2016/01/20,381107.0
2016/01/21,402451.0
2016/01/22,253807.0
2016/01/23,191039.0
2016/01/24,207349.0
2016/01/25,377361.0
2016/01/26,366817.0
2016/01/27,356748.0
2016/01/28,363934.0
2016/01/29,340280.0
2016/01/30,150946.0
2016/01/31,170180.0
2016/02/01,391820.0
2016/02/02,371476.0
2016/02/03,424204.0
2016/02/04,423690.0
2016/02/05,284314.0
