,time,metric_name,metric_value,date,year
318219,2018-01-14 00:00:00-05:00,google.meet:average_meeting_minutes,0,2018-01-14,2018
318220,2018-01-14 00:00:00-05:00,google.meet:average_meeting_minutes_with_11_to_15_calls,0,2018-01-14,2018
318221,2018-01-14 00:00:00-05:00,google.meet:average_meeting_minutes_with_16_to_25_calls,0,2018-01-14,2018
318222,2018-01-14 00:00:00-05:00,google.meet:average_meeting_minutes_with_26_to_50_calls,0,2018-01-14,2018
318223,2018-01-14 00:00:00-05:00,google.meet:average_meeting_minutes_with_2_calls,0,2018-01-14,2018
318224,2018-01-14 00:00:00-05:00,google.meet:average_meeting_minutes_with_3_to_5_calls,0,2018-01-14,2018
318225,2018-01-14 00:00:00-05:00,google.meet:average_meeting_minutes_with_6_to_10_calls,0,2018-01-14,2018
318226,2018-01-14 00:00:00-05:00,google.meet:lonely_meetings,0,2018-01-14,2018
318227,2018-01-14 00:00:00-05:00,google.meet:max_concurrent_usage_chromebase,0,2018-01-14,2018
318228,2018-01-14 00:00:00-05:00,google.meet:max_concurrent_usage_chromebox,0,2018-01-14,2018
318229,2018-01-14 00:00:00-05:00,google.meet:num_1day_active_users,0,2018-01-14,2018
318230,2018-01-14 00:00:00-05:00,google.meet:num_30day_active_users,0,2018-01-14,2018
318231,2018-01-14 00:00:00-05:00,google.meet:num_7day_active_users,0,2018-01-14,2018
318232,2018-01-14 00:00:00-05:00,google.meet:num_calls,0,2018-01-14,2018
318233,2018-01-14 00:00:00-05:00,google.meet:num_calls_android,0,2018-01-14,2018
318234,2018-01-14 00:00:00-05:00,google.meet:num_calls_by_external_users,0,2018-01-14,2018
318235,2018-01-14 00:00:00-05:00,google.meet:num_calls_by_internal_users,0,2018-01-14,2018
318236,2018-01-14 00:00:00-05:00,google.meet:num_calls_by_pstn_in_users,0,2018-01-14,2018
318237,2018-01-14 00:00:00-05:00,google.meet:num_calls_chromebase,0,2018-01-14,2018
318238,2018-01-14 00:00:00-05:00,google.meet:num_calls_chromebox,0,2018-01-14,2018
318239,2018-01-14 00:00:00-05:00,google.meet:num_calls_ios,0,2018-01-14,2018
318240,2018-01-14 00:00:00-05:00,google.meet:num_calls_jamboard,0,2018-01-14,2018
318241,2018-01-14 00:00:00-05:00,google.meet:num_calls_unknown_client,0,2018-01-14,2018
318242,2018-01-14 00:00:00-05:00,google.meet:num_calls_web,0,2018-01-14,2018
318243,2018-01-14 00:00:00-05:00,google.meet:num_meetings,0,2018-01-14,2018
318244,2018-01-14 00:00:00-05:00,google.meet:num_meetings_android,0,2018-01-14,2018
318245,2018-01-14 00:00:00-05:00,google.meet:num_meetings_chromebase,0,2018-01-14,2018
318246,2018-01-14 00:00:00-05:00,google.meet:num_meetings_chromebox,0,2018-01-14,2018
318247,2018-01-14 00:00:00-05:00,google.meet:num_meetings_ios,0,2018-01-14,2018
318248,2018-01-14 00:00:00-05:00,google.meet:num_meetings_jamboard,0,2018-01-14,2018
318249,2018-01-14 00:00:00-05:00,google.meet:num_meetings_unknown_client,0,2018-01-14,2018
318250,2018-01-14 00:00:00-05:00,google.meet:num_meetings_web,0,2018-01-14,2018
318251,2018-01-14 00:00:00-05:00,google.meet:num_meetings_with_11_to_15_calls,0,2018-01-14,2018
318252,2018-01-14 00:00:00-05:00,google.meet:num_meetings_with_16_to_25_calls,0,2018-01-14,2018
318253,2018-01-14 00:00:00-05:00,google.meet:num_meetings_with_26_to_50_calls,0,2018-01-14,2018
318254,2018-01-14 00:00:00-05:00,google.meet:num_meetings_with_2_calls,0,2018-01-14,2018
318255,2018-01-14 00:00:00-05:00,google.meet:num_meetings_with_3_to_5_calls,0,2018-01-14,2018
318256,2018-01-14 00:00:00-05:00,google.meet:num_meetings_with_6_to_10_calls,0,2018-01-14,2018
318257,2018-01-14 00:00:00-05:00,google.meet:num_meetings_with_external_users,0,2018-01-14,2018
318258,2018-01-14 00:00:00-05:00,google.meet:num_meetings_with_pstn_in_users,0,2018-01-14,2018
318259,2018-01-14 00:00:00-05:00,google.meet:total_call_minutes,0,2018-01-14,2018
318260,2018-01-14 00:00:00-05:00,google.meet:total_call_minutes_android,0,2018-01-14,2018
318261,2018-01-14 00:00:00-05:00,google.meet:total_call_minutes_by_external_users,0,2018-01-14,2018
318262,2018-01-14 00:00:00-05:00,google.meet:total_call_minutes_by_internal_users,0,2018-01-14,2018
318263,2018-01-14 00:00:00-05:00,google.meet:total_call_minutes_by_pstn_in_users,0,2018-01-14,2018
318264,2018-01-14 00:00:00-05:00,google.meet:total_call_minutes_chromebase,0,2018-01-14,2018
318265,2018-01-14 00:00:00-05:00,google.meet:total_call_minutes_chromebox,0,2018-01-14,2018
318266,2018-01-14 00:00:00-05:00,google.meet:total_call_minutes_ios,0,2018-01-14,2018
318267,2018-01-14 00:00:00-05:00,google.meet:total_call_minutes_jamboard,0,2018-01-14,2018
318268,2018-01-14 00:00:00-05:00,google.meet:total_call_minutes_unknown_client,0,2018-01-14,2018
318269,2018-01-14 00:00:00-05:00,google.meet:total_call_minutes_web,0,2018-01-14,2018
318270,2018-01-14 00:00:00-05:00,google.meet:total_meeting_minutes,0,2018-01-14,2018
318738,2018-01-15 00:00:00-05:00,google.meet:average_meeting_minutes,0,2018-01-15,2018
318739,2018-01-15 00:00:00-05:00,google.meet:average_meeting_minutes_with_11_to_15_calls,0,2018-01-15,2018
318740,2018-01-15 00:00:00-05:00,google.meet:average_meeting_minutes_with_16_to_25_calls,0,2018-01-15,2018
318741,2018-01-15 00:00:00-05:00,google.meet:average_meeting_minutes_with_26_to_50_calls,0,2018-01-15,2018
318742,2018-01-15 00:00:00-05:00,google.meet:average_meeting_minutes_with_2_calls,0,2018-01-15,2018
318743,2018-01-15 00:00:00-05:00,google.meet:average_meeting_minutes_with_3_to_5_calls,0,2018-01-15,2018
318744,2018-01-15 00:00:00-05:00,google.meet:average_meeting_minutes_with_6_to_10_calls,0,2018-01-15,2018
318745,2018-01-15 00:00:00-05:00,google.meet:lonely_meetings,0,2018-01-15,2018
318746,2018-01-15 00:00:00-05:00,google.meet:max_concurrent_usage_chromebase,0,2018-01-15,2018
318747,2018-01-15 00:00:00-05:00,google.meet:max_concurrent_usage_chromebox,0,2018-01-15,2018
318748,2018-01-15 00:00:00-05:00,google.meet:num_1day_active_users,0,2018-01-15,2018
318749,2018-01-15 00:00:00-05:00,google.meet:num_30day_active_users,0,2018-01-15,2018
318750,2018-01-15 00:00:00-05:00,google.meet:num_7day_active_users,0,2018-01-15,2018
318751,2018-01-15 00:00:00-05:00,google.meet:num_calls,0,2018-01-15,2018
318752,2018-01-15 00:00:00-05:00,google.meet:num_calls_android,0,2018-01-15,2018
318753,2018-01-15 00:00:00-05:00,google.meet:num_calls_by_external_users,0,2018-01-15,2018
318754,2018-01-15 00:00:00-05:00,google.meet:num_calls_by_internal_users,0,2018-01-15,2018
318755,2018-01-15 00:00:00-05:00,google.meet:num_calls_by_pstn_in_users,0,2018-01-15,2018
318756,2018-01-15 00:00:00-05:00,google.meet:num_calls_chromebase,0,2018-01-15,2018
318757,2018-01-15 00:00:00-05:00,google.meet:num_calls_chromebox,0,2018-01-15,2018
318758,2018-01-15 00:00:00-05:00,google.meet:num_calls_ios,0,2018-01-15,2018
318759,2018-01-15 00:00:00-05:00,google.meet:num_calls_jamboard,0,2018-01-15,2018
318760,2018-01-15 00:00:00-05:00,google.meet:num_calls_unknown_client,0,2018-01-15,2018
318761,2018-01-15 00:00:00-05:00,google.meet:num_calls_web,0,2018-01-15,2018
318762,2018-01-15 00:00:00-05:00,google.meet:num_meetings,0,2018-01-15,2018
318763,2018-01-15 00:00:00-05:00,google.meet:num_meetings_android,0,2018-01-15,2018
318764,2018-01-15 00:00:00-05:00,google.meet:num_meetings_chromebase,0,2018-01-15,2018
318765,2018-01-15 00:00:00-05:00,google.meet:num_meetings_chromebox,0,2018-01-15,2018
318766,2018-01-15 00:00:00-05:00,google.meet:num_meetings_ios,0,2018-01-15,2018
318767,2018-01-15 00:00:00-05:00,google.meet:num_meetings_jamboard,0,2018-01-15,2018
318768,2018-01-15 00:00:00-05:00,google.meet:num_meetings_unknown_client,0,2018-01-15,2018
318769,2018-01-15 00:00:00-05:00,google.meet:num_meetings_web,0,2018-01-15,2018
318770,2018-01-15 00:00:00-05:00,google.meet:num_meetings_with_11_to_15_calls,0,2018-01-15,2018
318771,2018-01-15 00:00:00-05:00,google.meet:num_meetings_with_16_to_25_calls,0,2018-01-15,2018
318772,2018-01-15 00:00:00-05:00,google.meet:num_meetings_with_26_to_50_calls,0,2018-01-15,2018
318773,2018-01-15 00:00:00-05:00,google.meet:num_meetings_with_2_calls,0,2018-01-15,2018
318774,2018-01-15 00:00:00-05:00,google.meet:num_meetings_with_3_to_5_calls,0,2018-01-15,2018
318775,2018-01-15 00:00:00-05:00,google.meet:num_meetings_with_6_to_10_calls,0,2018-01-15,2018
318776,2018-01-15 00:00:00-05:00,google.meet:num_meetings_with_external_users,0,2018-01-15,2018
318777,2018-01-15 00:00:00-05:00,google.meet:num_meetings_with_pstn_in_users,0,2018-01-15,2018
318778,2018-01-15 00:00:00-05:00,google.meet:total_call_minutes,0,2018-01-15,2018
318779,2018-01-15 00:00:00-05:00,google.meet:total_call_minutes_android,0,2018-01-15,2018
318780,2018-01-15 00:00:00-05:00,google.meet:total_call_minutes_by_external_users,0,2018-01-15,2018
318781,2018-01-15 00:00:00-05:00,google.meet:total_call_minutes_by_internal_users,0,2018-01-15,2018
318782,2018-01-15 00:00:00-05:00,google.meet:total_call_minutes_by_pstn_in_users,0,2018-01-15,2018
318783,2018-01-15 00:00:00-05:00,google.meet:total_call_minutes_chromebase,0,2018-01-15,2018
318784,2018-01-15 00:00:00-05:00,google.meet:total_call_minutes_chromebox,0,2018-01-15,2018
318785,2018-01-15 00:00:00-05:00,google.meet:total_call_minutes_ios,0,2018-01-15,2018
318786,2018-01-15 00:00:00-05:00,google.meet:total_call_minutes_jamboard,0,2018-01-15,2018
318787,2018-01-15 00:00:00-05:00,google.meet:total_call_minutes_unknown_client,0,2018-01-15,2018
318788,2018-01-15 00:00:00-05:00,google.meet:total_call_minutes_web,0,2018-01-15,2018
