,time,metric_name,metric_value
30983,2016-01-01T00:00:00.000-0500,google.accounts:drive_used_quota_in_mb,24642609
30984,2016-01-01T00:00:00.000-0500,google.accounts:gmail_used_quota_in_mb,51830831
30985,2016-01-01T00:00:00.000-0500,google.accounts:gplus_photos_used_quota_in_mb,912760
30986,2016-01-01T00:00:00.000-0500,google.accounts:num_1day_logins,6602
30987,2016-01-01T00:00:00.000-0500,google.accounts:num_30day_logins,23495
30988,2016-01-01T00:00:00.000-0500,google.accounts:num_7day_logins,14050
30989,2016-01-01T00:00:00.000-0500,google.accounts:num_authorized_apps,2407
30990,2016-01-01T00:00:00.000-0500,google.accounts:num_delegated_admins,29
30991,2016-01-01T00:00:00.000-0500,google.accounts:num_disabled_accounts,41730
30992,2016-01-01T00:00:00.000-0500,google.accounts:num_locked_users,0
30993,2016-01-01T00:00:00.000-0500,google.accounts:num_security_keys,0
30994,2016-01-01T00:00:00.000-0500,google.accounts:num_super_admins,13
30995,2016-01-01T00:00:00.000-0500,google.accounts:num_suspended_users,41730
30996,2016-01-01T00:00:00.000-0500,google.accounts:num_users,74833
30997,2016-01-01T00:00:00.000-0500,google.accounts:num_users_2sv_enforced,0
30998,2016-01-01T00:00:00.000-0500,google.accounts:num_users_2sv_enrolled,0
30999,2016-01-01T00:00:00.000-0500,google.accounts:num_users_2sv_enrolled_and_enforced,0
31000,2016-01-01T00:00:00.000-0500,google.accounts:num_users_2sv_not_enforced,74833
31001,2016-01-01T00:00:00.000-0500,google.accounts:num_users_2sv_not_enrolled,74833
31002,2016-01-01T00:00:00.000-0500,google.accounts:num_users_2sv_not_enrolled_and_not_enforced,74833
31003,2016-01-01T00:00:00.000-0500,google.accounts:num_users_2sv_not_enrolled_but_enforced,0
31004,2016-01-01T00:00:00.000-0500,google.accounts:num_users_less_secure_apps_access_allowed,2067
31005,2016-01-01T00:00:00.000-0500,google.accounts:num_users_less_secure_apps_access_denied,72766
31006,2016-01-01T00:00:00.000-0500,google.accounts:num_users_overridden_names,0
31007,2016-01-01T00:00:00.000-0500,google.accounts:num_users_used_quota_lt_50percent,3594
31008,2016-01-01T00:00:00.000-0500,google.accounts:total_quota_in_mb,112425469
31009,2016-01-01T00:00:00.000-0500,google.accounts:used_quota_in_mb,77399229
31010,2016-01-01T00:00:00.000-0500,google.calendar:num_1day_active_users,499
31011,2016-01-01T00:00:00.000-0500,google.calendar:num_30day_active_users,5685
31012,2016-01-01T00:00:00.000-0500,google.calendar:num_7day_active_users,2154
31013,2016-01-01T00:00:00.000-0500,google.device_management:num_1day_google_sync_managed_devices,0
31014,2016-01-01T00:00:00.000-0500,google.device_management:num_1day_google_sync_managed_users,0
31015,2016-01-01T00:00:00.000-0500,google.device_management:num_1day_total_managed_devices,0
31016,2016-01-01T00:00:00.000-0500,google.device_management:num_1day_total_managed_users,0
31017,2016-01-01T00:00:00.000-0500,google.device_management:num_30day_google_sync_managed_devices,0
31018,2016-01-01T00:00:00.000-0500,google.device_management:num_30day_google_sync_managed_users,0
31019,2016-01-01T00:00:00.000-0500,google.device_management:num_30day_total_managed_devices,0
31020,2016-01-01T00:00:00.000-0500,google.device_management:num_30day_total_managed_users,0
31021,2016-01-01T00:00:00.000-0500,google.device_management:num_7day_google_sync_managed_devices,0
31022,2016-01-01T00:00:00.000-0500,google.device_management:num_7day_google_sync_managed_users,0
31023,2016-01-01T00:00:00.000-0500,google.device_management:num_7day_total_managed_devices,0
31024,2016-01-01T00:00:00.000-0500,google.device_management:num_7day_total_managed_users,0
31025,2016-01-01T00:00:00.000-0500,google.device_management:num_total_unmanaged_users,74828
31026,2016-01-01T00:00:00.000-0500,google.device_management:num_total_users,74828
31027,2016-01-01T00:00:00.000-0500,google.docs:num_1day_active_users,341
31028,2016-01-01T00:00:00.000-0500,google.docs:num_30day_active_users,9038
31029,2016-01-01T00:00:00.000-0500,google.docs:num_7day_active_users,1640
31030,2016-01-01T00:00:00.000-0500,google.docs:num_docs,3779556
31031,2016-01-01T00:00:00.000-0500,google.docs:num_docs_edited,2419
31032,2016-01-01T00:00:00.000-0500,google.docs:num_docs_externally_visible,139639
31033,2016-01-01T00:00:00.000-0500,google.docs:num_docs_internally_visible,3640911
