time,1day_active_users,1day_imap_users,1day_pop_users,1day_webmail_users,30day_active_users,30day_imap_users,30day_pop_users,30day_webmail_users,7day_active_users,7day_imap_users,7day_pop_users,7day_webmail_users,emails_exchanged,emails_received,emails_sent,inbound_delivered_emails,inbound_encrypted_emails,inbound_non_spam_emails,inbound_rejected_emails,inbound_rerouted_emails,inbound_spam_emails,inbound_unencrypted_emails,outbound_delivered_emails,outbound_encrypted_emails,outbound_rejected_emails,outbound_rerouted_emails,outbound_unencrypted_emails
2015-03-23 00:00:00-04:00,19687.0,10463.0,214.0,12300.0,23980.0,12339.0,265.0,21780.0,22329.0,11508.0,234.0,18220.0,527020.0,474483.0,52537.0,209035.0,77262.0,177446.0,2.0,7064.0,31718.0,131902.0,0.0,26144.0,667.0,26072.0,22.0
2015-03-24 00:00:00-04:00,19437.0,10510.0,214.0,12247.0,24025.0,12336.0,264.0,21834.0,22364.0,11519.0,236.0,18324.0,427165.0,378195.0,48970.0,213585.0,85855.0,163005.0,6.0,6143.0,50873.0,128023.0,0.0,23205.0,1330.0,23136.0,15.0
2015-03-25 00:00:00-04:00,19520.0,10453.0,212.0,12158.0,24045.0,12357.0,262.0,21862.0,22383.0,11527.0,236.0,18397.0,472306.0,423666.0,48640.0,204875.0,74257.0,155603.0,6.0,6610.0,49373.0,130719.0,0.0,23037.0,847.0,22959.0,229.0
2015-03-26 00:00:00-04:00,19335.0,10496.0,213.0,11713.0,24074.0,12365.0,263.0,21897.0,22370.0,11546.0,224.0,18412.0,451496.0,405663.0,45833.0,202810.0,84637.0,158907.0,790.0,7267.0,46494.0,120764.0,0.0,22764.0,863.0,22672.0,33.0
2015-03-27 00:00:00-04:00,18768.0,10419.0,204.0,10102.0,24079.0,12340.0,262.0,21890.0,22395.0,11558.0,222.0,18414.0,379394.0,342226.0,37168.0,171479.0,66572.0,137505.0,13.0,5983.0,34066.0,104999.0,0.0,18333.0,487.0,18242.0,7.0
2015-03-28 00:00:00-04:00,16261.0,10257.0,201.0,6754.0,24091.0,12331.0,262.0,21875.0,22421.0,11565.0,222.0,18441.0,165700.0,154766.0,10934.0,119534.0,43423.0,97453.0,6.0,3794.0,22205.0,76235.0,0.0,8040.0,230.0,7948.0,9.0
2015-03-29 00:00:00-04:00,16400.0,10312.0,205.0,8833.0,24046.0,12318.0,264.0,21790.0,22407.0,11567.0,225.0,18442.0,179508.0,162389.0,17119.0,110181.0,48237.0,87480.0,9.0,3665.0,22798.0,62041.0,0.0,9507.0,366.0,9417.0,51.0
2015-03-30 00:00:00-04:00,19500.0,10506.0,213.0,12713.0,24083.0,12325.0,264.0,21856.0,22408.0,11563.0,226.0,18531.0,461750.0,407661.0,54089.0,218850.0,82467.0,171697.0,10.0,6666.0,47344.0,136574.0,0.0,25350.0,863.0,25262.0,39.0
2015-03-31 00:00:00-04:00,19332.0,10496.0,214.0,12483.0,24102.0,12330.0,264.0,21891.0,22410.0,11567.0,228.0,18494.0,516636.0,465110.0,51526.0,279860.0,94731.0,183266.0,6.0,6922.0,97464.0,185999.0,0.0,24014.0,793.0,23914.0,18.0
2015-04-01 00:00:00-04:00,19151.0,10489.0,215.0,12051.0,24112.0,12319.0,263.0,21850.0,22383.0,11565.0,230.0,18470.0,507490.0,458547.0,48943.0,287110.0,90893.0,200740.0,1.0,8539.0,86834.0,196681.0,0.0,24417.0,1093.0,24331.0,13.0
