time,metric_name,metric_value
2015-03-23 00:00:00-04:00,google.accounts:apps_total_licenses,0
2015-03-23 00:00:00-04:00,google.accounts:apps_used_licenses,0
2015-03-23 00:00:00-04:00,google.accounts:authorized_apps,0
2015-03-23 00:00:00-04:00,google.accounts:coordinate_total_licenses,0
2015-03-23 00:00:00-04:00,google.accounts:drive_used_quota_in_mb,9537833
2015-03-23 00:00:00-04:00,google.accounts:gmail_used_quota_in_mb,29158045
2015-03-23 00:00:00-04:00,google.accounts:gplus_photos_used_quota_in_mb,659544
2015-03-23 00:00:00-04:00,google.accounts:num_1day_logins,16814
2015-03-23 00:00:00-04:00,google.accounts:num_30day_logins,24022
2015-03-23 00:00:00-04:00,google.accounts:num_7day_logins,21763
2015-03-23 00:00:00-04:00,google.accounts:num_authorized_apps,2393
2015-03-23 00:00:00-04:00,google.accounts:num_delegated_admins,25
2015-03-23 00:00:00-04:00,google.accounts:num_disabled_accounts,34125
2015-03-23 00:00:00-04:00,google.accounts:num_locked_users,2
2015-03-23 00:00:00-04:00,google.accounts:num_super_admins,11
2015-03-23 00:00:00-04:00,google.accounts:num_suspended_users,34123
2015-03-23 00:00:00-04:00,google.accounts:num_users,63991
2015-03-23 00:00:00-04:00,google.accounts:num_users_2sv_enforced,0
2015-03-23 00:00:00-04:00,google.accounts:num_users_2sv_enrolled,0
2015-03-23 00:00:00-04:00,google.accounts:num_users_2sv_enrolled_and_enforced,0
2015-03-23 00:00:00-04:00,google.accounts:num_users_2sv_not_enforced,63991
2015-03-23 00:00:00-04:00,google.accounts:num_users_2sv_not_enrolled,63991
2015-03-23 00:00:00-04:00,google.accounts:num_users_2sv_not_enrolled_and_not_enforced,63991
2015-03-23 00:00:00-04:00,google.accounts:num_users_2sv_not_enrolled_but_enforced,0
2015-03-23 00:00:00-04:00,google.accounts:num_users_used_quota_lt_50percent,0
2015-03-23 00:00:00-04:00,google.accounts:total_quota_in_mb,-63989
2015-03-23 00:00:00-04:00,google.accounts:used_quota_in_mb,39362117
2015-03-23 00:00:00-04:00,google.accounts:vault_total_licenses,0
2015-03-24 00:00:00-04:00,google.accounts:apps_total_licenses,0
2015-03-24 00:00:00-04:00,google.accounts:apps_used_licenses,0
2015-03-24 00:00:00-04:00,google.accounts:authorized_apps,0
2015-03-24 00:00:00-04:00,google.accounts:coordinate_total_licenses,0
2015-03-24 00:00:00-04:00,google.accounts:drive_used_quota_in_mb,9642866
2015-03-24 00:00:00-04:00,google.accounts:gmail_used_quota_in_mb,29226034
2015-03-24 00:00:00-04:00,google.accounts:gplus_photos_used_quota_in_mb,660147
2015-03-24 00:00:00-04:00,google.accounts:num_1day_logins,16591
2015-03-24 00:00:00-04:00,google.accounts:num_30day_logins,24069
2015-03-24 00:00:00-04:00,google.accounts:num_7day_logins,21666
2015-03-24 00:00:00-04:00,google.accounts:num_authorized_apps,2401
2015-03-24 00:00:00-04:00,google.accounts:num_delegated_admins,25
2015-03-24 00:00:00-04:00,google.accounts:num_disabled_accounts,34126
2015-03-24 00:00:00-04:00,google.accounts:num_locked_users,1
2015-03-24 00:00:00-04:00,google.accounts:num_super_admins,11
2015-03-24 00:00:00-04:00,google.accounts:num_suspended_users,34125
2015-03-24 00:00:00-04:00,google.accounts:num_users,64051
2015-03-24 00:00:00-04:00,google.accounts:num_users_2sv_enforced,0
2015-03-24 00:00:00-04:00,google.accounts:num_users_2sv_enrolled,0
2015-03-24 00:00:00-04:00,google.accounts:num_users_2sv_enrolled_and_enforced,0
2015-03-24 00:00:00-04:00,google.accounts:num_users_2sv_not_enforced,64051
2015-03-24 00:00:00-04:00,google.accounts:num_users_2sv_not_enrolled,64051
2015-03-24 00:00:00-04:00,google.accounts:num_users_2sv_not_enrolled_and_not_enforced,64051
2015-03-24 00:00:00-04:00,google.accounts:num_users_2sv_not_enrolled_but_enforced,0
2015-03-24 00:00:00-04:00,google.accounts:num_users_used_quota_lt_50percent,0
2015-03-24 00:00:00-04:00,google.accounts:total_quota_in_mb,-64049
2015-03-24 00:00:00-04:00,google.accounts:used_quota_in_mb,39535749
2015-03-24 00:00:00-04:00,google.accounts:vault_total_licenses,0
2015-03-25 00:00:00-04:00,google.accounts:apps_total_licenses,0
2015-03-25 00:00:00-04:00,google.accounts:apps_used_licenses,0
2015-03-25 00:00:00-04:00,google.accounts:authorized_apps,0
2015-03-25 00:00:00-04:00,google.accounts:coordinate_total_licenses,0
2015-03-25 00:00:00-04:00,google.accounts:drive_used_quota_in_mb,9685497
2015-03-25 00:00:00-04:00,google.accounts:gmail_used_quota_in_mb,29267718
2015-03-25 00:00:00-04:00,google.accounts:gplus_photos_used_quota_in_mb,660152
2015-03-25 00:00:00-04:00,google.accounts:num_1day_logins,16502
2015-03-25 00:00:00-04:00,google.accounts:num_30day_logins,24086
2015-03-25 00:00:00-04:00,google.accounts:num_7day_logins,21530
2015-03-25 00:00:00-04:00,google.accounts:num_authorized_apps,2408
2015-03-25 00:00:00-04:00,google.accounts:num_delegated_admins,25
2015-03-25 00:00:00-04:00,google.accounts:num_disabled_accounts,34112
2015-03-25 00:00:00-04:00,google.accounts:num_locked_users,0
2015-03-25 00:00:00-04:00,google.accounts:num_super_admins,11
2015-03-25 00:00:00-04:00,google.accounts:num_suspended_users,34112
2015-03-25 00:00:00-04:00,google.accounts:num_users,64115
2015-03-25 00:00:00-04:00,google.accounts:num_users_2sv_enforced,0
2015-03-25 00:00:00-04:00,google.accounts:num_users_2sv_enrolled,0
2015-03-25 00:00:00-04:00,google.accounts:num_users_2sv_enrolled_and_enforced,0
2015-03-25 00:00:00-04:00,google.accounts:num_users_2sv_not_enforced,64115
2015-03-25 00:00:00-04:00,google.accounts:num_users_2sv_not_enrolled,64115
2015-03-25 00:00:00-04:00,google.accounts:num_users_2sv_not_enrolled_and_not_enforced,64115
