time,metric_name,metric_value
2017-07-04 00:00:00-04:00,google.app_maker:num_1day_active_apps,0
2017-07-04 00:00:00-04:00,google.app_maker:num_1day_active_users,0
2017-07-04 00:00:00-04:00,google.apps_scripts:num_1day_active_apps,54
2017-07-04 00:00:00-04:00,google.apps_scripts:num_1day_active_users,367
2017-07-05 00:00:00-04:00,google.app_maker:num_1day_active_apps,0
2017-07-05 00:00:00-04:00,google.app_maker:num_1day_active_users,0
2017-07-05 00:00:00-04:00,google.apps_scripts:num_1day_active_apps,108
2017-07-05 00:00:00-04:00,google.apps_scripts:num_1day_active_users,1163
2017-07-06 00:00:00-04:00,google.app_maker:num_1day_active_apps,0
2017-07-06 00:00:00-04:00,google.app_maker:num_1day_active_users,0
2017-07-06 00:00:00-04:00,google.apps_scripts:num_1day_active_apps,100
2017-07-06 00:00:00-04:00,google.apps_scripts:num_1day_active_users,1144
2017-07-07 00:00:00-04:00,google.app_maker:num_1day_active_apps,0
2017-07-07 00:00:00-04:00,google.app_maker:num_1day_active_users,0
2017-07-07 00:00:00-04:00,google.apps_scripts:num_1day_active_apps,94
2017-07-07 00:00:00-04:00,google.apps_scripts:num_1day_active_users,1028
2017-07-08 00:00:00-04:00,google.app_maker:num_1day_active_apps,0
2017-07-08 00:00:00-04:00,google.app_maker:num_1day_active_users,0
2017-07-08 00:00:00-04:00,google.apps_scripts:num_1day_active_apps,66
2017-07-08 00:00:00-04:00,google.apps_scripts:num_1day_active_users,418
2017-07-09 00:00:00-04:00,google.app_maker:num_1day_active_apps,0
2017-07-09 00:00:00-04:00,google.app_maker:num_1day_active_users,0
2017-07-09 00:00:00-04:00,google.apps_scripts:num_1day_active_apps,65
2017-07-09 00:00:00-04:00,google.apps_scripts:num_1day_active_users,551
2017-07-10 00:00:00-04:00,google.app_maker:num_1day_active_apps,0
2017-07-10 00:00:00-04:00,google.app_maker:num_1day_active_users,0
2017-07-10 00:00:00-04:00,google.apps_scripts:num_1day_active_apps,116
2017-07-10 00:00:00-04:00,google.apps_scripts:num_1day_active_users,1266
2017-07-11 00:00:00-04:00,google.app_maker:num_1day_active_apps,0
2017-07-11 00:00:00-04:00,google.app_maker:num_1day_active_users,0
2017-07-11 00:00:00-04:00,google.apps_scripts:num_1day_active_apps,114
2017-07-11 00:00:00-04:00,google.apps_scripts:num_1day_active_users,1267
2017-07-12 00:00:00-04:00,google.app_maker:num_1day_active_apps,0
2017-07-12 00:00:00-04:00,google.app_maker:num_1day_active_users,0
2017-07-12 00:00:00-04:00,google.apps_scripts:num_1day_active_apps,123
2017-07-12 00:00:00-04:00,google.apps_scripts:num_1day_active_users,1289
2017-07-13 00:00:00-04:00,google.app_maker:num_1day_active_apps,0
2017-07-13 00:00:00-04:00,google.app_maker:num_1day_active_users,0
2017-07-13 00:00:00-04:00,google.apps_scripts:num_1day_active_apps,123
2017-07-13 00:00:00-04:00,google.apps_scripts:num_1day_active_users,1216
2017-07-14 00:00:00-04:00,google.app_maker:num_1day_active_apps,0
2017-07-14 00:00:00-04:00,google.app_maker:num_1day_active_users,0
2017-07-14 00:00:00-04:00,google.apps_scripts:num_1day_active_apps,99
2017-07-14 00:00:00-04:00,google.apps_scripts:num_1day_active_users,952
2017-07-15 00:00:00-04:00,google.app_maker:num_1day_active_apps,0
2017-07-15 00:00:00-04:00,google.app_maker:num_1day_active_users,0
2017-07-15 00:00:00-04:00,google.apps_scripts:num_1day_active_apps,65
2017-07-15 00:00:00-04:00,google.apps_scripts:num_1day_active_users,481
2017-07-16 00:00:00-04:00,google.app_maker:num_1day_active_apps,0
2017-07-16 00:00:00-04:00,google.app_maker:num_1day_active_users,0
2017-07-16 00:00:00-04:00,google.apps_scripts:num_1day_active_apps,68
2017-07-16 00:00:00-04:00,google.apps_scripts:num_1day_active_users,541
2017-07-17 00:00:00-04:00,google.app_maker:num_1day_active_apps,0
2017-07-17 00:00:00-04:00,google.app_maker:num_1day_active_users,0
2017-07-17 00:00:00-04:00,google.apps_scripts:num_1day_active_apps,121
2017-07-17 00:00:00-04:00,google.apps_scripts:num_1day_active_users,1269
2017-07-18 00:00:00-04:00,google.app_maker:num_1day_active_apps,0
2017-07-18 00:00:00-04:00,google.app_maker:num_1day_active_users,0
2017-07-18 00:00:00-04:00,google.apps_scripts:num_1day_active_apps,134
2017-07-18 00:00:00-04:00,google.apps_scripts:num_1day_active_users,1250
2017-07-19 00:00:00-04:00,google.app_maker:num_1day_active_apps,0
2017-07-19 00:00:00-04:00,google.app_maker:num_1day_active_users,0
2017-07-19 00:00:00-04:00,google.apps_scripts:num_1day_active_apps,127
2017-07-19 00:00:00-04:00,google.apps_scripts:num_1day_active_users,1363
2017-07-20 00:00:00-04:00,google.app_maker:num_1day_active_apps,0
2017-07-20 00:00:00-04:00,google.app_maker:num_1day_active_users,0
2017-07-20 00:00:00-04:00,google.apps_scripts:num_1day_active_apps,114
2017-07-20 00:00:00-04:00,google.apps_scripts:num_1day_active_users,1200
2017-07-21 00:00:00-04:00,google.app_maker:num_1day_active_apps,0
2017-07-21 00:00:00-04:00,google.app_maker:num_1day_active_users,0
2017-07-21 00:00:00-04:00,google.apps_scripts:num_1day_active_apps,106
2017-07-21 00:00:00-04:00,google.apps_scripts:num_1day_active_users,1026
