time,metric_name,metric_value
2015-03-23 00:00:00-04:00,google.docs:num_1day_active_users,3352
2015-03-23 00:00:00-04:00,google.docs:num_30day_active_users,11609
2015-03-23 00:00:00-04:00,google.docs:num_7day_active_users,7474
2015-03-23 00:00:00-04:00,google.docs:num_docs,1883984
2015-03-23 00:00:00-04:00,google.docs:num_docs_edited,22016
2015-03-23 00:00:00-04:00,google.docs:num_docs_externally_visible,83226
2015-03-23 00:00:00-04:00,google.docs:num_docs_internally_visible,1800802
2015-03-23 00:00:00-04:00,google.docs:num_docs_not_edited_for_12months,1024716
2015-03-23 00:00:00-04:00,google.docs:num_docs_not_edited_for_3months,1608235
2015-03-23 00:00:00-04:00,google.docs:num_docs_not_edited_for_6months,1379272
2015-03-23 00:00:00-04:00,google.docs:num_docs_not_viewed_for_12months,808070
2015-03-23 00:00:00-04:00,google.docs:num_docs_not_viewed_for_3months,1484776
2015-03-23 00:00:00-04:00,google.docs:num_docs_not_viewed_for_6months,1197221
2015-03-23 00:00:00-04:00,google.docs:num_docs_shared_outside_domain,44
2015-03-23 00:00:00-04:00,google.docs:num_docs_viewed,27558
2015-03-23 00:00:00-04:00,google.docs:num_docs_with_visibility_anyone_with_link,77618
2015-03-23 00:00:00-04:00,google.docs:num_docs_with_visibility_people_at_domain,2874
2015-03-23 00:00:00-04:00,google.docs:num_docs_with_visibility_people_at_domain_with_link,26706
2015-03-23 00:00:00-04:00,google.docs:num_docs_with_visibility_private,1771222
2015-03-23 00:00:00-04:00,google.docs:num_docs_with_visibility_public,5564
2015-03-23 00:00:00-04:00,google.docs:num_drawings,2077
2015-03-23 00:00:00-04:00,google.docs:num_drawings_edited,9
2015-03-23 00:00:00-04:00,google.docs:num_drawings_viewed,9
2015-03-23 00:00:00-04:00,google.docs:num_forms,12727
2015-03-23 00:00:00-04:00,google.docs:num_forms_edited,47
2015-03-23 00:00:00-04:00,google.docs:num_forms_viewed,51
2015-03-23 00:00:00-04:00,google.docs:num_presentations,20459
2015-03-23 00:00:00-04:00,google.docs:num_presentations_edited,168
2015-03-23 00:00:00-04:00,google.docs:num_presentations_viewed,251
2015-03-23 00:00:00-04:00,google.docs:num_shared_docs,549180
2015-03-23 00:00:00-04:00,google.docs:num_spreadsheets,149647
2015-03-23 00:00:00-04:00,google.docs:num_spreadsheets_edited,799
2015-03-23 00:00:00-04:00,google.docs:num_spreadsheets_viewed,1415
2015-03-23 00:00:00-04:00,google.docs:num_text_documents,310609
2015-03-23 00:00:00-04:00,google.docs:num_text_documents_edited,1655
2015-03-23 00:00:00-04:00,google.docs:num_text_documents_viewed,2643
2015-03-23 00:00:00-04:00,google.docs:num_uploaded_files,1388248
2015-03-23 00:00:00-04:00,google.docs:num_uploaded_files_edited,19338
2015-03-23 00:00:00-04:00,google.docs:num_uploaded_files_viewed,23189
2015-03-24 00:00:00-04:00,google.docs:num_1day_active_users,2994
2015-03-24 00:00:00-04:00,google.docs:num_30day_active_users,11748
2015-03-24 00:00:00-04:00,google.docs:num_7day_active_users,7480
2015-03-24 00:00:00-04:00,google.docs:num_docs,1889467
2015-03-24 00:00:00-04:00,google.docs:num_docs_edited,5554
2015-03-24 00:00:00-04:00,google.docs:num_docs_externally_visible,83932
2015-03-24 00:00:00-04:00,google.docs:num_docs_internally_visible,1805579
2015-03-24 00:00:00-04:00,google.docs:num_docs_not_edited_for_12months,1027505
2015-03-24 00:00:00-04:00,google.docs:num_docs_not_edited_for_3months,1610625
2015-03-24 00:00:00-04:00,google.docs:num_docs_not_edited_for_6months,1383567
2015-03-24 00:00:00-04:00,google.docs:num_docs_not_viewed_for_12months,809779
2015-03-24 00:00:00-04:00,google.docs:num_docs_not_viewed_for_3months,1485127
2015-03-24 00:00:00-04:00,google.docs:num_docs_not_viewed_for_6months,1199354
2015-03-24 00:00:00-04:00,google.docs:num_docs_shared_outside_domain,44
2015-03-24 00:00:00-04:00,google.docs:num_docs_viewed,9918
2015-03-24 00:00:00-04:00,google.docs:num_docs_with_visibility_anyone_with_link,78324
2015-03-24 00:00:00-04:00,google.docs:num_docs_with_visibility_people_at_domain,2874
2015-03-24 00:00:00-04:00,google.docs:num_docs_with_visibility_people_at_domain_with_link,26451
2015-03-24 00:00:00-04:00,google.docs:num_docs_with_visibility_private,1776254
2015-03-24 00:00:00-04:00,google.docs:num_docs_with_visibility_public,5564
2015-03-24 00:00:00-04:00,google.docs:num_drawings,2079
2015-03-24 00:00:00-04:00,google.docs:num_drawings_edited,2
2015-03-24 00:00:00-04:00,google.docs:num_drawings_viewed,4
2015-03-24 00:00:00-04:00,google.docs:num_forms,12741
2015-03-24 00:00:00-04:00,google.docs:num_forms_edited,46
2015-03-24 00:00:00-04:00,google.docs:num_forms_viewed,51
2015-03-24 00:00:00-04:00,google.docs:num_presentations,20526
2015-03-24 00:00:00-04:00,google.docs:num_presentations_edited,135
2015-03-24 00:00:00-04:00,google.docs:num_presentations_viewed,230
2015-03-24 00:00:00-04:00,google.docs:num_shared_docs,550303
2015-03-24 00:00:00-04:00,google.docs:num_spreadsheets,150700
2015-03-24 00:00:00-04:00,google.docs:num_spreadsheets_edited,740
2015-03-24 00:00:00-04:00,google.docs:num_spreadsheets_viewed,1877
2015-03-24 00:00:00-04:00,google.docs:num_text_documents,311240
2015-03-24 00:00:00-04:00,google.docs:num_text_documents_edited,1438
2015-03-24 00:00:00-04:00,google.docs:num_text_documents_viewed,2372
2015-03-24 00:00:00-04:00,google.docs:num_uploaded_files,1391964
2015-03-24 00:00:00-04:00,google.docs:num_uploaded_files_edited,3193
2015-03-24 00:00:00-04:00,google.docs:num_uploaded_files_viewed,5384
2015-03-25 00:00:00-04:00,google.docs:num_1day_active_users,3083
2015-03-25 00:00:00-04:00,google.docs:num_30day_active_users,11747
2015-03-25 00:00:00-04:00,google.docs:num_7day_active_users,7468
2015-03-25 00:00:00-04:00,google.docs:num_docs,1899985
2015-03-25 00:00:00-04:00,google.docs:num_docs_edited,7178
2015-03-25 00:00:00-04:00,google.docs:num_docs_externally_visible,84246
2015-03-25 00:00:00-04:00,google.docs:num_docs_internally_visible,1815783
2015-03-25 00:00:00-04:00,google.docs:num_docs_not_edited_for_12months,1031157
2015-03-25 00:00:00-04:00,google.docs:num_docs_not_edited_for_3months,1613176
2015-03-25 00:00:00-04:00,google.docs:num_docs_not_edited_for_6months,1388920
2015-03-25 00:00:00-04:00,google.docs:num_docs_not_viewed_for_12months,810481
2015-03-25 00:00:00-04:00,google.docs:num_docs_not_viewed_for_3months,1484887
2015-03-25 00:00:00-04:00,google.docs:num_docs_not_viewed_for_6months,1203530
2015-03-25 00:00:00-04:00,google.docs:num_docs_shared_outside_domain,44
2015-03-25 00:00:00-04:00,google.docs:num_docs_viewed,14113
2015-03-25 00:00:00-04:00,google.docs:num_docs_with_visibility_anyone_with_link,78631
2015-03-25 00:00:00-04:00,google.docs:num_docs_with_visibility_people_at_domain,2878
