time,metric_name,metric_value
2015-03-23 00:00:00-04:00,google.gmail:num_1day_active_users,19687
2015-03-23 00:00:00-04:00,google.gmail:num_1day_imap_users,10463
2015-03-23 00:00:00-04:00,google.gmail:num_1day_pop_users,214
2015-03-23 00:00:00-04:00,google.gmail:num_1day_webmail_users,12300
2015-03-23 00:00:00-04:00,google.gmail:num_30day_active_users,23980
2015-03-23 00:00:00-04:00,google.gmail:num_30day_imap_users,12339
2015-03-23 00:00:00-04:00,google.gmail:num_30day_pop_users,265
2015-03-23 00:00:00-04:00,google.gmail:num_30day_webmail_users,21780
2015-03-23 00:00:00-04:00,google.gmail:num_7day_active_users,22329
2015-03-23 00:00:00-04:00,google.gmail:num_7day_imap_users,11508
2015-03-23 00:00:00-04:00,google.gmail:num_7day_pop_users,234
2015-03-23 00:00:00-04:00,google.gmail:num_7day_webmail_users,18220
2015-03-23 00:00:00-04:00,google.gmail:num_emails_exchanged,527020
2015-03-23 00:00:00-04:00,google.gmail:num_emails_received,474483
2015-03-23 00:00:00-04:00,google.gmail:num_emails_sent,52537
2015-03-23 00:00:00-04:00,google.gmail:num_inbound_delivered_emails,209035
2015-03-23 00:00:00-04:00,google.gmail:num_inbound_encrypted_emails,77262
2015-03-23 00:00:00-04:00,google.gmail:num_inbound_non_spam_emails,177446
2015-03-23 00:00:00-04:00,google.gmail:num_inbound_rejected_emails,2
2015-03-23 00:00:00-04:00,google.gmail:num_inbound_rerouted_emails,7064
2015-03-23 00:00:00-04:00,google.gmail:num_inbound_spam_emails,31718
2015-03-23 00:00:00-04:00,google.gmail:num_inbound_unencrypted_emails,131902
2015-03-23 00:00:00-04:00,google.gmail:num_outbound_delivered_emails,0
2015-03-23 00:00:00-04:00,google.gmail:num_outbound_encrypted_emails,26144
2015-03-23 00:00:00-04:00,google.gmail:num_outbound_rejected_emails,667
2015-03-23 00:00:00-04:00,google.gmail:num_outbound_rerouted_emails,26072
2015-03-23 00:00:00-04:00,google.gmail:num_outbound_unencrypted_emails,22
2015-03-24 00:00:00-04:00,google.gmail:num_1day_active_users,19437
2015-03-24 00:00:00-04:00,google.gmail:num_1day_imap_users,10510
2015-03-24 00:00:00-04:00,google.gmail:num_1day_pop_users,214
2015-03-24 00:00:00-04:00,google.gmail:num_1day_webmail_users,12247
2015-03-24 00:00:00-04:00,google.gmail:num_30day_active_users,24025
2015-03-24 00:00:00-04:00,google.gmail:num_30day_imap_users,12336
2015-03-24 00:00:00-04:00,google.gmail:num_30day_pop_users,264
2015-03-24 00:00:00-04:00,google.gmail:num_30day_webmail_users,21834
2015-03-24 00:00:00-04:00,google.gmail:num_7day_active_users,22364
2015-03-24 00:00:00-04:00,google.gmail:num_7day_imap_users,11519
2015-03-24 00:00:00-04:00,google.gmail:num_7day_pop_users,236
2015-03-24 00:00:00-04:00,google.gmail:num_7day_webmail_users,18324
2015-03-24 00:00:00-04:00,google.gmail:num_emails_exchanged,427165
2015-03-24 00:00:00-04:00,google.gmail:num_emails_received,378195
2015-03-24 00:00:00-04:00,google.gmail:num_emails_sent,48970
2015-03-24 00:00:00-04:00,google.gmail:num_inbound_delivered_emails,213585
2015-03-24 00:00:00-04:00,google.gmail:num_inbound_encrypted_emails,85855
2015-03-24 00:00:00-04:00,google.gmail:num_inbound_non_spam_emails,163005
2015-03-24 00:00:00-04:00,google.gmail:num_inbound_rejected_emails,6
2015-03-24 00:00:00-04:00,google.gmail:num_inbound_rerouted_emails,6143
2015-03-24 00:00:00-04:00,google.gmail:num_inbound_spam_emails,50873
2015-03-24 00:00:00-04:00,google.gmail:num_inbound_unencrypted_emails,128023
2015-03-24 00:00:00-04:00,google.gmail:num_outbound_delivered_emails,0
2015-03-24 00:00:00-04:00,google.gmail:num_outbound_encrypted_emails,23205
2015-03-24 00:00:00-04:00,google.gmail:num_outbound_rejected_emails,1330
2015-03-24 00:00:00-04:00,google.gmail:num_outbound_rerouted_emails,23136
2015-03-24 00:00:00-04:00,google.gmail:num_outbound_unencrypted_emails,15
2015-03-25 00:00:00-04:00,google.gmail:num_1day_active_users,19520
2015-03-25 00:00:00-04:00,google.gmail:num_1day_imap_users,10453
2015-03-25 00:00:00-04:00,google.gmail:num_1day_pop_users,212
2015-03-25 00:00:00-04:00,google.gmail:num_1day_webmail_users,12158
2015-03-25 00:00:00-04:00,google.gmail:num_30day_active_users,24045
2015-03-25 00:00:00-04:00,google.gmail:num_30day_imap_users,12357
2015-03-25 00:00:00-04:00,google.gmail:num_30day_pop_users,262
2015-03-25 00:00:00-04:00,google.gmail:num_30day_webmail_users,21862
2015-03-25 00:00:00-04:00,google.gmail:num_7day_active_users,22383
2015-03-25 00:00:00-04:00,google.gmail:num_7day_imap_users,11527
2015-03-25 00:00:00-04:00,google.gmail:num_7day_pop_users,236
2015-03-25 00:00:00-04:00,google.gmail:num_7day_webmail_users,18397
2015-03-25 00:00:00-04:00,google.gmail:num_emails_exchanged,472306
2015-03-25 00:00:00-04:00,google.gmail:num_emails_received,423666
2015-03-25 00:00:00-04:00,google.gmail:num_emails_sent,48640
2015-03-25 00:00:00-04:00,google.gmail:num_inbound_delivered_emails,204875
2015-03-25 00:00:00-04:00,google.gmail:num_inbound_encrypted_emails,74257
2015-03-25 00:00:00-04:00,google.gmail:num_inbound_non_spam_emails,155603
2015-03-25 00:00:00-04:00,google.gmail:num_inbound_rejected_emails,6
2015-03-25 00:00:00-04:00,google.gmail:num_inbound_rerouted_emails,6610
2015-03-25 00:00:00-04:00,google.gmail:num_inbound_spam_emails,49373
2015-03-25 00:00:00-04:00,google.gmail:num_inbound_unencrypted_emails,130719
2015-03-25 00:00:00-04:00,google.gmail:num_outbound_delivered_emails,0
2015-03-25 00:00:00-04:00,google.gmail:num_outbound_encrypted_emails,23037
2015-03-25 00:00:00-04:00,google.gmail:num_outbound_rejected_emails,847
2015-03-25 00:00:00-04:00,google.gmail:num_outbound_rerouted_emails,22959
2015-03-25 00:00:00-04:00,google.gmail:num_outbound_unencrypted_emails,229
2015-03-26 00:00:00-04:00,google.gmail:num_1day_active_users,19335
2015-03-26 00:00:00-04:00,google.gmail:num_1day_imap_users,10496
2015-03-26 00:00:00-04:00,google.gmail:num_1day_pop_users,213
2015-03-26 00:00:00-04:00,google.gmail:num_1day_webmail_users,11713
2015-03-26 00:00:00-04:00,google.gmail:num_30day_active_users,24074
2015-03-26 00:00:00-04:00,google.gmail:num_30day_imap_users,12365
2015-03-26 00:00:00-04:00,google.gmail:num_30day_pop_users,263
2015-03-26 00:00:00-04:00,google.gmail:num_30day_webmail_users,21897
2015-03-26 00:00:00-04:00,google.gmail:num_7day_active_users,22370
2015-03-26 00:00:00-04:00,google.gmail:num_7day_imap_users,11546
2015-03-26 00:00:00-04:00,google.gmail:num_7day_pop_users,224
2015-03-26 00:00:00-04:00,google.gmail:num_7day_webmail_users,18412
2015-03-26 00:00:00-04:00,google.gmail:num_emails_exchanged,451496
2015-03-26 00:00:00-04:00,google.gmail:num_emails_received,405663
2015-03-26 00:00:00-04:00,google.gmail:num_emails_sent,45833
2015-03-26 00:00:00-04:00,google.gmail:num_inbound_delivered_emails,202810
2015-03-26 00:00:00-04:00,google.gmail:num_inbound_encrypted_emails,84637
2015-03-26 00:00:00-04:00,google.gmail:num_inbound_non_spam_emails,158907
2015-03-26 00:00:00-04:00,google.gmail:num_inbound_rejected_emails,790
2015-03-26 00:00:00-04:00,google.gmail:num_inbound_rerouted_emails,7267
2015-03-26 00:00:00-04:00,google.gmail:num_inbound_spam_emails,46494
2015-03-26 00:00:00-04:00,google.gmail:num_inbound_unencrypted_emails,120764
2015-03-26 00:00:00-04:00,google.gmail:num_outbound_delivered_emails,0
2015-03-26 00:00:00-04:00,google.gmail:num_outbound_encrypted_emails,22764
2015-03-26 00:00:00-04:00,google.gmail:num_outbound_rejected_emails,863
2015-03-26 00:00:00-04:00,google.gmail:num_outbound_rerouted_emails,22672
2015-03-26 00:00:00-04:00,google.gmail:num_outbound_unencrypted_emails,33
2015-03-27 00:00:00-04:00,google.gmail:num_1day_active_users,18768
2015-03-27 00:00:00-04:00,google.gmail:num_1day_imap_users,10419
2015-03-27 00:00:00-04:00,google.gmail:num_1day_pop_users,204
2015-03-27 00:00:00-04:00,google.gmail:num_1day_webmail_users,10102
2015-03-27 00:00:00-04:00,google.gmail:num_30day_active_users,24079
2015-03-27 00:00:00-04:00,google.gmail:num_30day_imap_users,12340
2015-03-27 00:00:00-04:00,google.gmail:num_30day_pop_users,262
2015-03-27 00:00:00-04:00,google.gmail:num_30day_webmail_users,21890
2015-03-27 00:00:00-04:00,google.gmail:num_7day_active_users,22395
2015-03-27 00:00:00-04:00,google.gmail:num_7day_imap_users,11558
2015-03-27 00:00:00-04:00,google.gmail:num_7day_pop_users,222
2015-03-27 00:00:00-04:00,google.gmail:num_7day_webmail_users,18414
2015-03-27 00:00:00-04:00,google.gmail:num_emails_exchanged,379394
2015-03-27 00:00:00-04:00,google.gmail:num_emails_received,342226
2015-03-27 00:00:00-04:00,google.gmail:num_emails_sent,37168
2015-03-27 00:00:00-04:00,google.gmail:num_inbound_delivered_emails,171479
2015-03-27 00:00:00-04:00,google.gmail:num_inbound_encrypted_emails,66572
2015-03-27 00:00:00-04:00,google.gmail:num_inbound_non_spam_emails,137505
2015-03-27 00:00:00-04:00,google.gmail:num_inbound_rejected_emails,13
2015-03-27 00:00:00-04:00,google.gmail:num_inbound_rerouted_emails,5983
2015-03-27 00:00:00-04:00,google.gmail:num_inbound_spam_emails,34066
2015-03-27 00:00:00-04:00,google.gmail:num_inbound_unencrypted_emails,104999
2015-03-27 00:00:00-04:00,google.gmail:num_outbound_delivered_emails,0
2015-03-27 00:00:00-04:00,google.gmail:num_outbound_encrypted_emails,18333
2015-03-27 00:00:00-04:00,google.gmail:num_outbound_rejected_emails,487
2015-03-27 00:00:00-04:00,google.gmail:num_outbound_rerouted_emails,18242
2015-03-27 00:00:00-04:00,google.gmail:num_outbound_unencrypted_emails,7
2015-03-28 00:00:00-04:00,google.gmail:num_1day_active_users,16261
2015-03-28 00:00:00-04:00,google.gmail:num_1day_imap_users,10257
2015-03-28 00:00:00-04:00,google.gmail:num_1day_pop_users,201
2015-03-28 00:00:00-04:00,google.gmail:num_1day_webmail_users,6754
2015-03-28 00:00:00-04:00,google.gmail:num_30day_active_users,24091
2015-03-28 00:00:00-04:00,google.gmail:num_30day_imap_users,12331
2015-03-28 00:00:00-04:00,google.gmail:num_30day_pop_users,262
2015-03-28 00:00:00-04:00,google.gmail:num_30day_webmail_users,21875
2015-03-28 00:00:00-04:00,google.gmail:num_7day_active_users,22421
2015-03-28 00:00:00-04:00,google.gmail:num_7day_imap_users,11565
2015-03-28 00:00:00-04:00,google.gmail:num_7day_pop_users,222
2015-03-28 00:00:00-04:00,google.gmail:num_7day_webmail_users,18441
2015-03-28 00:00:00-04:00,google.gmail:num_emails_exchanged,165700
2015-03-28 00:00:00-04:00,google.gmail:num_emails_received,154766
2015-03-28 00:00:00-04:00,google.gmail:num_emails_sent,10934
2015-03-28 00:00:00-04:00,google.gmail:num_inbound_delivered_emails,119534
2015-03-28 00:00:00-04:00,google.gmail:num_inbound_encrypted_emails,43423
2015-03-28 00:00:00-04:00,google.gmail:num_inbound_non_spam_emails,97453
2015-03-28 00:00:00-04:00,google.gmail:num_inbound_rejected_emails,6
2015-03-28 00:00:00-04:00,google.gmail:num_inbound_rerouted_emails,3794
2015-03-28 00:00:00-04:00,google.gmail:num_inbound_spam_emails,22205
2015-03-28 00:00:00-04:00,google.gmail:num_inbound_unencrypted_emails,76235
2015-03-28 00:00:00-04:00,google.gmail:num_outbound_delivered_emails,0
2015-03-28 00:00:00-04:00,google.gmail:num_outbound_encrypted_emails,8040
2015-03-28 00:00:00-04:00,google.gmail:num_outbound_rejected_emails,230
2015-03-28 00:00:00-04:00,google.gmail:num_outbound_rerouted_emails,7948
2015-03-28 00:00:00-04:00,google.gmail:num_outbound_unencrypted_emails,9
2015-03-29 00:00:00-04:00,google.gmail:num_1day_active_users,16400
2015-03-29 00:00:00-04:00,google.gmail:num_1day_imap_users,10312
2015-03-29 00:00:00-04:00,google.gmail:num_1day_pop_users,205
2015-03-29 00:00:00-04:00,google.gmail:num_1day_webmail_users,8833
2015-03-29 00:00:00-04:00,google.gmail:num_30day_active_users,24046
