time,metric_name,metric_value
2015-03-23 00:00:00-04:00,google.sites:num_sites,9104
2015-03-23 00:00:00-04:00,google.sites:num_sites_created,2
2015-03-24 00:00:00-04:00,google.sites:num_sites,9105
2015-03-24 00:00:00-04:00,google.sites:num_sites_created,1
2015-03-25 00:00:00-04:00,google.sites:num_sites,9106
2015-03-25 00:00:00-04:00,google.sites:num_sites_created,1
2015-03-26 00:00:00-04:00,google.sites:num_sites,9111
2015-03-26 00:00:00-04:00,google.sites:num_sites_created,6
2015-03-27 00:00:00-04:00,google.sites:num_sites,9112
2015-03-27 00:00:00-04:00,google.sites:num_sites_created,2
2015-03-28 00:00:00-04:00,google.sites:num_sites,9112
2015-03-28 00:00:00-04:00,google.sites:num_sites_created,0
2015-03-29 00:00:00-04:00,google.sites:num_sites,9117
2015-03-29 00:00:00-04:00,google.sites:num_sites_created,5
2015-03-30 00:00:00-04:00,google.sites:num_sites,9120
2015-03-30 00:00:00-04:00,google.sites:num_sites_created,4
2015-03-31 00:00:00-04:00,google.sites:num_sites,9123
2015-03-31 00:00:00-04:00,google.sites:num_sites_created,4
2015-04-01 00:00:00-04:00,google.sites:num_sites,9124
2015-04-01 00:00:00-04:00,google.sites:num_sites_created,1
2015-04-02 00:00:00-04:00,google.sites:num_sites,9128
2015-04-02 00:00:00-04:00,google.sites:num_sites_created,4
2015-04-03 00:00:00-04:00,google.sites:num_sites,9128
2015-04-03 00:00:00-04:00,google.sites:num_sites_created,0
2015-04-04 00:00:00-04:00,google.sites:num_sites,9130
2015-04-04 00:00:00-04:00,google.sites:num_sites_created,2
2015-04-05 00:00:00-04:00,google.sites:num_sites,9133
2015-04-05 00:00:00-04:00,google.sites:num_sites_created,3
2015-04-06 00:00:00-04:00,google.sites:num_sites,9138
2015-04-06 00:00:00-04:00,google.sites:num_sites_created,6
2015-04-07 00:00:00-04:00,google.sites:num_sites,9143
2015-04-07 00:00:00-04:00,google.sites:num_sites_created,5
2015-04-08 00:00:00-04:00,google.sites:num_sites,9151
2015-04-08 00:00:00-04:00,google.sites:num_sites_created,9
2015-04-09 00:00:00-04:00,google.sites:num_sites,9152
2015-04-09 00:00:00-04:00,google.sites:num_sites_created,1
2015-04-10 00:00:00-04:00,google.sites:num_sites,9153
2015-04-10 00:00:00-04:00,google.sites:num_sites_created,1
2015-04-11 00:00:00-04:00,google.sites:num_sites,9153
2015-04-11 00:00:00-04:00,google.sites:num_sites_created,0
2015-04-12 00:00:00-04:00,google.sites:num_sites,9159
2015-04-12 00:00:00-04:00,google.sites:num_sites_created,6
2015-04-13 00:00:00-04:00,google.sites:num_sites,9164
2015-04-13 00:00:00-04:00,google.sites:num_sites_created,5
2015-04-14 00:00:00-04:00,google.sites:num_sites,9164
2015-04-14 00:00:00-04:00,google.sites:num_sites_created,2
2015-04-15 00:00:00-04:00,google.sites:num_sites,9168
2015-04-15 00:00:00-04:00,google.sites:num_sites_created,4
2015-04-16 00:00:00-04:00,google.sites:num_sites,9171
2015-04-16 00:00:00-04:00,google.sites:num_sites_created,4
2015-04-17 00:00:00-04:00,google.sites:num_sites,9175
2015-04-17 00:00:00-04:00,google.sites:num_sites_created,4
2015-04-18 00:00:00-04:00,google.sites:num_sites,9178
2015-04-18 00:00:00-04:00,google.sites:num_sites_created,3
2015-04-19 00:00:00-04:00,google.sites:num_sites,9184
2015-04-19 00:00:00-04:00,google.sites:num_sites_created,6
2015-04-20 00:00:00-04:00,google.sites:num_sites,9189
2015-04-20 00:00:00-04:00,google.sites:num_sites_created,5
2015-04-21 00:00:00-04:00,google.sites:num_sites,9196
2015-04-21 00:00:00-04:00,google.sites:num_sites_created,7
2015-04-22 00:00:00-04:00,google.sites:num_sites,9204
2015-04-22 00:00:00-04:00,google.sites:num_sites_created,8
2015-04-23 00:00:00-04:00,google.sites:num_sites,9210
2015-04-23 00:00:00-04:00,google.sites:num_sites_created,6
2015-04-24 00:00:00-04:00,google.sites:num_sites,9213
2015-04-24 00:00:00-04:00,google.sites:num_sites_created,3
2015-04-25 00:00:00-04:00,google.sites:num_sites,9214
2015-04-25 00:00:00-04:00,google.sites:num_sites_created,1
2015-04-26 00:00:00-04:00,google.sites:num_sites,9213
2015-04-26 00:00:00-04:00,google.sites:num_sites_created,1
2015-04-27 00:00:00-04:00,google.sites:num_sites,9216
2015-04-27 00:00:00-04:00,google.sites:num_sites_created,3
2015-04-28 00:00:00-04:00,google.sites:num_sites,9228
2015-04-28 00:00:00-04:00,google.sites:num_sites_created,12
2015-04-29 00:00:00-04:00,google.sites:num_sites,9231
2015-04-29 00:00:00-04:00,google.sites:num_sites_created,5
2015-04-30 00:00:00-04:00,google.sites:num_sites,9235
2015-04-30 00:00:00-04:00,google.sites:num_sites_created,4
2015-05-01 00:00:00-04:00,google.sites:num_sites,9241
2015-05-01 00:00:00-04:00,google.sites:num_sites_created,8
2015-05-02 00:00:00-04:00,google.sites:num_sites,9242
2015-05-02 00:00:00-04:00,google.sites:num_sites_created,1
2015-05-03 00:00:00-04:00,google.sites:num_sites,9242
2015-05-03 00:00:00-04:00,google.sites:num_sites_created,0
2015-05-04 00:00:00-04:00,google.sites:num_sites,9244
2015-05-04 00:00:00-04:00,google.sites:num_sites_created,2
2015-05-05 00:00:00-04:00,google.sites:num_sites,9245
2015-05-05 00:00:00-04:00,google.sites:num_sites_created,1
2015-05-06 00:00:00-04:00,google.sites:num_sites,9245
2015-05-06 00:00:00-04:00,google.sites:num_sites_created,0
2015-05-07 00:00:00-04:00,google.sites:num_sites,9245
2015-05-07 00:00:00-04:00,google.sites:num_sites_created,0
2015-05-08 00:00:00-04:00,google.sites:num_sites,9247
2015-05-08 00:00:00-04:00,google.sites:num_sites_created,2
2015-05-09 00:00:00-04:00,google.sites:num_sites,9248
2015-05-09 00:00:00-04:00,google.sites:num_sites_created,1
2015-05-10 00:00:00-04:00,google.sites:num_sites,9249
2015-05-10 00:00:00-04:00,google.sites:num_sites_created,1
2015-05-11 00:00:00-04:00,google.sites:num_sites,9250
2015-05-11 00:00:00-04:00,google.sites:num_sites_created,1
2015-05-12 00:00:00-04:00,google.sites:num_sites,9252
2015-05-12 00:00:00-04:00,google.sites:num_sites_created,2
2015-05-13 00:00:00-04:00,google.sites:num_sites,9252
2015-05-13 00:00:00-04:00,google.sites:num_sites_created,0
2015-05-14 00:00:00-04:00,google.sites:num_sites,9253
2015-05-14 00:00:00-04:00,google.sites:num_sites_created,1
2015-05-15 00:00:00-04:00,google.sites:num_sites,9253
2015-05-15 00:00:00-04:00,google.sites:num_sites_created,0
2015-05-16 00:00:00-04:00,google.sites:num_sites,9253
2015-05-16 00:00:00-04:00,google.sites:num_sites_created,0
2015-05-17 00:00:00-04:00,google.sites:num_sites,9255
2015-05-17 00:00:00-04:00,google.sites:num_sites_created,2
2015-05-18 00:00:00-04:00,google.sites:num_sites,9234
2015-05-18 00:00:00-04:00,google.sites:num_sites_created,5
2015-05-19 00:00:00-04:00,google.sites:num_sites,9234
2015-05-19 00:00:00-04:00,google.sites:num_sites_created,0
2015-05-20 00:00:00-04:00,google.sites:num_sites,9235
2015-05-20 00:00:00-04:00,google.sites:num_sites_created,1
2015-05-21 00:00:00-04:00,google.sites:num_sites,9239
2015-05-21 00:00:00-04:00,google.sites:num_sites_created,4
2015-05-22 00:00:00-04:00,google.sites:num_sites,9253
2015-05-22 00:00:00-04:00,google.sites:num_sites_created,15
2015-05-23 00:00:00-04:00,google.sites:num_sites,9255
2015-05-23 00:00:00-04:00,google.sites:num_sites_created,3
2015-05-24 00:00:00-04:00,google.sites:num_sites,9260
2015-05-24 00:00:00-04:00,google.sites:num_sites_created,5
2015-05-25 00:00:00-04:00,google.sites:num_sites,9263
2015-05-25 00:00:00-04:00,google.sites:num_sites_created,3
2015-05-26 00:00:00-04:00,google.sites:num_sites,9266
2015-05-26 00:00:00-04:00,google.sites:num_sites_created,4
2015-05-27 00:00:00-04:00,google.sites:num_sites,9268
2015-05-27 00:00:00-04:00,google.sites:num_sites_created,2
2015-05-28 00:00:00-04:00,google.sites:num_sites,9274
2015-05-28 00:00:00-04:00,google.sites:num_sites_created,8
2015-05-29 00:00:00-04:00,google.sites:num_sites,9279
2015-05-29 00:00:00-04:00,google.sites:num_sites_created,6
2015-05-30 00:00:00-04:00,google.sites:num_sites,9279
2015-05-30 00:00:00-04:00,google.sites:num_sites_created,0
2015-05-31 00:00:00-04:00,google.sites:num_sites,9280
2015-05-31 00:00:00-04:00,google.sites:num_sites_created,1
2015-06-01 00:00:00-04:00,google.sites:num_sites,9281
2015-06-01 00:00:00-04:00,google.sites:num_sites_created,1
2015-06-02 00:00:00-04:00,google.sites:num_sites,9282
2015-06-02 00:00:00-04:00,google.sites:num_sites_created,1
2015-06-03 00:00:00-04:00,google.sites:num_sites,9282
2015-06-03 00:00:00-04:00,google.sites:num_sites_created,0
2015-06-04 00:00:00-04:00,google.sites:num_sites,9285
2015-06-04 00:00:00-04:00,google.sites:num_sites_created,3
2015-06-05 00:00:00-04:00,google.sites:num_sites,9286
2015-06-05 00:00:00-04:00,google.sites:num_sites_created,1
2015-06-06 00:00:00-04:00,google.sites:num_sites,9286
2015-06-06 00:00:00-04:00,google.sites:num_sites_created,0
2015-06-07 00:00:00-04:00,google.sites:num_sites,9286
2015-06-07 00:00:00-04:00,google.sites:num_sites_created,0
2015-06-08 00:00:00-04:00,google.sites:num_sites,9286
2015-06-08 00:00:00-04:00,google.sites:num_sites_created,0
2015-06-09 00:00:00-04:00,google.sites:num_sites,9287
2015-06-09 00:00:00-04:00,google.sites:num_sites_created,1
2015-06-10 00:00:00-04:00,google.sites:num_sites,9289
2015-06-10 00:00:00-04:00,google.sites:num_sites_created,2
2015-06-11 00:00:00-04:00,google.sites:num_sites,9289
2015-06-11 00:00:00-04:00,google.sites:num_sites_created,0
2015-06-12 00:00:00-04:00,google.sites:num_sites,9291
2015-06-12 00:00:00-04:00,google.sites:num_sites_created,2
2015-06-13 00:00:00-04:00,google.sites:num_sites,9291
2015-06-13 00:00:00-04:00,google.sites:num_sites_created,0
2015-06-14 00:00:00-04:00,google.sites:num_sites,9291
2015-06-14 00:00:00-04:00,google.sites:num_sites_created,0
2015-06-15 00:00:00-04:00,google.sites:num_sites,9294
2015-06-15 00:00:00-04:00,google.sites:num_sites_created,3
2015-06-16 00:00:00-04:00,google.sites:num_sites,9294
