time,metric_name,metric_value
2015-08-10 00:00:00-04:00,google.accounts:drive_used_quota_in_mb,16097916.0
2015-08-10 00:00:00-04:00,google.accounts:gmail_used_quota_in_mb,48497030.0
2015-08-10 00:00:00-04:00,google.accounts:num_1day_logins,12397.0
2015-08-10 00:00:00-04:00,google.accounts:num_30day_logins,24943.0
2015-08-10 00:00:00-04:00,google.accounts:num_7day_logins,19222.0
2015-08-10 00:00:00-04:00,google.accounts:num_authorized_apps,2533.0
2015-08-10 00:00:00-04:00,google.accounts:num_delegated_admins,29.0
2015-08-10 00:00:00-04:00,google.accounts:num_disabled_accounts,39058.0
2015-08-10 00:00:00-04:00,google.accounts:num_locked_users,3.0
2015-08-10 00:00:00-04:00,google.accounts:num_security_keys,0.0
2015-08-10 00:00:00-04:00,google.accounts:num_super_admins,13.0
2015-08-10 00:00:00-04:00,google.accounts:num_suspended_users,39055.0
2015-08-10 00:00:00-04:00,google.accounts:num_users,72615.0
2015-08-10 00:00:00-04:00,google.accounts:num_users_2sv_enforced,0.0
2015-08-10 00:00:00-04:00,google.accounts:num_users_2sv_enrolled,0.0
2015-08-10 00:00:00-04:00,google.accounts:num_users_2sv_enrolled_and_enforced,0.0
2015-08-10 00:00:00-04:00,google.accounts:num_users_2sv_not_enforced,72615.0
2015-08-10 00:00:00-04:00,google.accounts:num_users_2sv_not_enrolled,72615.0
2015-08-10 00:00:00-04:00,google.accounts:num_users_2sv_not_enrolled_and_not_enforced,72615.0
2015-08-10 00:00:00-04:00,google.accounts:num_users_2sv_not_enrolled_but_enforced,0.0
2015-08-10 00:00:00-04:00,google.accounts:num_users_less_secure_apps_access_allowed,0.0
2015-08-10 00:00:00-04:00,google.accounts:num_users_less_secure_apps_access_denied,72615.0
2015-08-10 00:00:00-04:00,google.accounts:num_users_overridden_names,1145.0
2015-08-10 00:00:00-04:00,google.accounts:num_users_used_quota_lt_50percent,3580.0
2015-08-10 00:00:00-04:00,google.accounts:total_quota_in_mb,111997594.0
2015-08-10 00:00:00-04:00,google.accounts:used_quota_in_mb,65341876.0
2015-08-10 00:00:00-04:00,google.calendar:num_1day_active_users,1755.0
2015-08-10 00:00:00-04:00,google.calendar:num_30day_active_users,4750.0
2015-08-10 00:00:00-04:00,google.calendar:num_7day_active_users,3073.0
2015-08-10 00:00:00-04:00,google.docs:num_1day_active_users,1343.0
2015-08-10 00:00:00-04:00,google.docs:num_30day_active_users,6633.0
2015-08-10 00:00:00-04:00,google.docs:num_7day_active_users,3276.0
2015-08-10 00:00:00-04:00,google.docs:num_docs,2580574.0
2015-08-10 00:00:00-04:00,google.docs:num_docs_edited,1916.0
2015-08-10 00:00:00-04:00,google.docs:num_docs_externally_visible,109020.0
2015-08-10 00:00:00-04:00,google.docs:num_docs_internally_visible,2471773.0
2015-08-10 00:00:00-04:00,google.docs:num_docs_not_edited_for_12months,1416973.0
2015-08-10 00:00:00-04:00,google.docs:num_docs_not_edited_for_3months,2229187.0
2015-08-10 00:00:00-04:00,google.docs:num_docs_not_edited_for_6months,1873939.0
2015-08-10 00:00:00-04:00,google.docs:num_docs_not_viewed_for_12months,1050669.0
2015-08-10 00:00:00-04:00,google.docs:num_docs_not_viewed_for_3months,2070703.0
2015-08-10 00:00:00-04:00,google.docs:num_docs_not_viewed_for_6months,1582482.0
2015-08-10 00:00:00-04:00,google.docs:num_docs_shared_outside_domain,219.0
2015-08-10 00:00:00-04:00,google.docs:num_docs_viewed,3480.0
2015-08-10 00:00:00-04:00,google.docs:num_docs_with_visibility_anyone_with_link,101383.0
2015-08-10 00:00:00-04:00,google.docs:num_docs_with_visibility_people_at_domain,3027.0
2015-08-10 00:00:00-04:00,google.docs:num_docs_with_visibility_people_at_domain_with_link,33003.0
2015-08-10 00:00:00-04:00,google.docs:num_docs_with_visibility_private,2435743.0
2015-08-10 00:00:00-04:00,google.docs:num_docs_with_visibility_public,7418.0
2015-08-10 00:00:00-04:00,google.docs:num_drawings,2318.0
2015-08-10 00:00:00-04:00,google.docs:num_drawings_edited,6.0
2015-08-10 00:00:00-04:00,google.docs:num_drawings_viewed,8.0
2015-08-10 00:00:00-04:00,google.docs:num_forms,14054.0
2015-08-10 00:00:00-04:00,google.docs:num_forms_edited,17.0
2015-08-10 00:00:00-04:00,google.docs:num_forms_viewed,17.0
2015-08-10 00:00:00-04:00,google.docs:num_presentations,24643.0
2015-08-10 00:00:00-04:00,google.docs:num_presentations_edited,40.0
2015-08-10 00:00:00-04:00,google.docs:num_presentations_viewed,52.0
2015-08-10 00:00:00-04:00,google.docs:num_shared_docs,889806.0
2015-08-10 00:00:00-04:00,google.docs:num_spreadsheets,201610.0
2015-08-10 00:00:00-04:00,google.docs:num_spreadsheets_edited,495.0
2015-08-10 00:00:00-04:00,google.docs:num_spreadsheets_viewed,750.0
2015-08-10 00:00:00-04:00,google.docs:num_text_documents,348531.0
2015-08-10 00:00:00-04:00,google.docs:num_text_documents_edited,356.0
2015-08-10 00:00:00-04:00,google.docs:num_text_documents_viewed,731.0
2015-08-10 00:00:00-04:00,google.docs:num_uploaded_files,1989201.0
2015-08-10 00:00:00-04:00,google.docs:num_uploaded_files_edited,1002.0
2015-08-10 00:00:00-04:00,google.docs:num_uploaded_files_viewed,1922.0
2015-08-10 00:00:00-04:00,google.gmail:num_1day_active_users,17946.0
2015-08-10 00:00:00-04:00,google.gmail:num_1day_imap_users,10783.0
2015-08-10 00:00:00-04:00,google.gmail:num_1day_pop_users,152.0
2015-08-10 00:00:00-04:00,google.gmail:num_1day_webmail_users,8505.0
2015-08-10 00:00:00-04:00,google.gmail:num_30day_active_users,26199.0
2015-08-10 00:00:00-04:00,google.gmail:num_30day_imap_users,13032.0
2015-08-10 00:00:00-04:00,google.gmail:num_30day_pop_users,198.0
2015-08-10 00:00:00-04:00,google.gmail:num_30day_webmail_users,20982.0
2015-08-10 00:00:00-04:00,google.gmail:num_7day_active_users,23899.0
2015-08-10 00:00:00-04:00,google.gmail:num_7day_imap_users,12117.0
2015-08-10 00:00:00-04:00,google.gmail:num_7day_pop_users,171.0
2015-08-10 00:00:00-04:00,google.gmail:num_7day_webmail_users,14974.0
2015-08-10 00:00:00-04:00,google.gmail:num_emails_exchanged,295714.0
2015-08-10 00:00:00-04:00,google.gmail:num_emails_received,261720.0
