time,google.accounts:gmail_used_quota_in_mb,google.accounts:num_users
2018-01-01 05:00:00+00:00,70401973,93082
2018-01-02 05:00:00+00:00,70417224,93123
2018-01-03 05:00:00+00:00,70444688,93171
2018-01-04 05:00:00+00:00,70454107,93225
2018-01-05 05:00:00+00:00,70484435,93284
2018-01-06 05:00:00+00:00,70490198,93304
2018-01-07 05:00:00+00:00,70505475,93325
2018-01-08 05:00:00+00:00,70563195,93499
2018-01-09 05:00:00+00:00,70795686,93460
2018-01-10 05:00:00+00:00,70838579,93499
2018-01-11 05:00:00+00:00,70845688,93528
2018-01-12 05:00:00+00:00,70879187,93550
2018-01-13 05:00:00+00:00,70883610,93555
2018-01-14 05:00:00+00:00,70881599,93568
2018-01-15 05:00:00+00:00,70897254,93580
2018-01-16 05:00:00+00:00,70956286,93594
2018-01-17 05:00:00+00:00,70979798,93605
2018-01-18 05:00:00+00:00,71005670,93612
2018-01-19 05:00:00+00:00,71045270,93624
2018-01-20 05:00:00+00:00,71049342,93628
2018-01-24 05:00:00+00:00,71205749,93684
2018-01-25 05:00:00+00:00,71257731,93696
2018-01-28 05:00:00+00:00,71291822,93730
2018-01-29 05:00:00+00:00,71381857,93754
2018-01-30 05:00:00+00:00,71420849,93772
2018-01-31 05:00:00+00:00,71473878,93788
2018-02-01 05:00:00+00:00,71527559,93801
2018-02-02 05:00:00+00:00,71564148,93812
2018-02-03 05:00:00+00:00,71571652,93820
2018-02-04 05:00:00+00:00,71576542,93827
2018-02-05 05:00:00+00:00,71628877,93840
2018-02-06 05:00:00+00:00,71698200,93853
2018-02-07 05:00:00+00:00,71751955,93866
2018-02-08 05:00:00+00:00,71785264,93889
2018-02-09 05:00:00+00:00,71826159,93900
2018-02-10 05:00:00+00:00,71827555,93906
2018-02-11 05:00:00+00:00,71843896,93921
2018-02-14 05:00:00+00:00,72050997,94017
2018-02-15 05:00:00+00:00,72040414,94071
2018-02-16 05:00:00+00:00,72106114,94415
2018-02-17 05:00:00+00:00,72123097,94445
2018-02-18 05:00:00+00:00,72147600,94475
2018-02-20 05:00:00+00:00,72231640,94595
2018-02-21 05:00:00+00:00,72286046,94632
2018-02-22 05:00:00+00:00,72328611,94668
2018-02-23 05:00:00+00:00,72382314,94705
2018-02-24 05:00:00+00:00,72393398,94733
2018-02-25 05:00:00+00:00,72416923,94777
2018-02-26 05:00:00+00:00,72508567,94835
2018-02-27 05:00:00+00:00,72556145,94889
2018-02-28 05:00:00+00:00,72648213,94926
2018-03-01 05:00:00+00:00,72685644,94952
2018-03-02 05:00:00+00:00,72712269,94967
2018-03-03 05:00:00+00:00,72717703,94967
2018-03-04 05:00:00+00:00,72713381,94967
2018-03-05 05:00:00+00:00,72712930,95013
2018-03-06 05:00:00+00:00,72729435,95037
2018-03-07 05:00:00+00:00,72757142,95084
2018-03-08 05:00:00+00:00,72782427,95116
2018-03-09 05:00:00+00:00,72799102,95144
2018-03-10 05:00:00+00:00,72806906,95156
2018-03-11 05:00:00+00:00,72831022,95185
2018-03-15 04:00:00+00:00,73113419,95342
2018-03-16 04:00:00+00:00,73197043,95357
2018-03-17 04:00:00+00:00,73206611,95372
2018-03-18 04:00:00+00:00,73224882,95393
2018-03-19 04:00:00+00:00,73282696,95448
2018-03-20 04:00:00+00:00,73343169,95487
2018-03-21 04:00:00+00:00,73406640,95530
2018-03-22 04:00:00+00:00,73452670,95567
2018-03-23 04:00:00+00:00,73531874,95597
2018-03-24 04:00:00+00:00,73544592,95621
2018-03-25 04:00:00+00:00,73565018,95651
2018-03-26 04:00:00+00:00,73617932,95692
2018-03-27 04:00:00+00:00,73675231,95742
2018-03-28 04:00:00+00:00,73717749,95785
2018-03-29 04:00:00+00:00,73757429,95816
2018-03-30 04:00:00+00:00,73771195,95841
2018-03-31 04:00:00+00:00,73779753,95859
2018-04-01 04:00:00+00:00,73789519,95880
2018-04-02 04:00:00+00:00,73848809,95928
2018-04-03 04:00:00+00:00,73902652,95968
2018-04-04 04:00:00+00:00,73947606,96015
2018-04-05 04:00:00+00:00,74003777,96048
2018-04-06 04:00:00+00:00,74055151,96080
2018-04-07 04:00:00+00:00,74068062,96106
2018-04-08 04:00:00+00:00,74084183,96132
2018-04-09 04:00:00+00:00,74150350,96187
2018-04-10 04:00:00+00:00,74199902,96250
