time,google.accounts:drive_used_quota_in_mb,google.accounts:gmail_used_quota_in_mb,google.accounts:gplus_photos_used_quota_in_mb
2015-03-23,9485176.953931596,25903442.85739467,663815.932154253
2015-03-24,9538671.879153972,26162333.801137824,663560.7153868515
2015-03-25,9594073.245901793,26419035.643165484,663475.4035329553
2015-03-26,9649904.289380176,26667101.60265181,663320.2996761169
2015-03-27,9706512.80856065,26907157.266517498,662689.7400319088
2015-03-28,9756602.01308407,27145795.267269794,662358.5306516864
2015-03-29,9805510.59794964,27390259.266864244,662270.5871013692
2015-03-30,9860188.680273874,27640102.4052014,662169.7455989813
2015-03-31,9917504.841850787,27892230.67666478,662161.8165974471
2015-04-01,9976571.291647809,28141127.366703715,662365.5277755966
2015-04-02,10035797.453411866,28380088.143615462,662537.8378216773
2015-04-03,10095486.580204993,28609965.617162704,662269.2927662116
2015-04-04,10148038.28167415,28837970.304513626,662326.8906511731
2015-04-05,10198936.149261873,29072003.272418793,662648.3471766219
2015-04-06,10255335.667805806,29311794.630613178,662971.3279197336
2015-04-07,10313971.547581505,29554271.604825143,663394.118738762
2015-04-08,10373911.069241827,29793798.413846955,664027.6856900346
2015-04-09,10433506.525167344,30023486.38453656,664622.1818210622
2015-04-10,10493079.929087365,30244456.71763185,664761.9355315366
2015-04-11,10544795.513921611,30464546.216911457,665204.7940966451
2015-04-12,10594353.022873135,30692287.922614172,665882.03942706
2015-04-13,10649185.593664205,30927529.86848372,666526.038430994
2015-04-14,10705965.322078364,31167128.958905797,667229.5005795094
2015-04-15,10763782.73990215,31405208.260896605,668098.5994175377
2015-04-16,10820996.133914,31634544.93649255,668880.5930632496
2015-04-17,10878002.510977263,31856354.758863702,669158.3436223023
2015-04-18,10926778.42278825,32078906.803983882,669686.0197497274
2015-04-19,10973277.528911522,32311156.81858352,670394.5271471629
2015-04-20,11025237.355740333,32552851.399605244,671017.4297677513
2015-04-21,11079282.326898204,32800553.108473595,671648.6392095996
2015-04-22,11134528.969706394,33047920.73530774,672396.4384931107
2015-04-23,11189332.083059896,33287180.576011997,673012.0570202812
2015-04-24,11244142.30858819,33519438.04183554,673083.5658809461
2015-04-25,11290716.00369928,33753206.323021874,673367.7922025074
2015-04-26,11335218.14817829,33997697.02665693,673801.1285916057
2015-04-27,11385639.367703954,34252413.71263709,674123.6040255121
2015-04-28,11438498.096607346,34513511.46786195,674434.9012844258
2015-04-29,11492873.40224312,34774102.56455672,674849.1987895749
2015-04-30,11547050.05558025,35025812.63665892,675124.63705305
2015-05-01,11601464.861490741,35269620.029044606,674856.5491968193
2015-05-02,11647587.763446731,35514298.15655564,674805.5691397587
2015-05-03,11691732.236886147,35769362.225059785,674913.8245854207
2015-05-04,11742084.610650683,36034150.06683176,674927.1839798586
2015-05-05,11795007.218979657,36304513.31266612,674949.6488034636
2015-05-06,11849500.462763049,36573144.86689592,675099.0788793953
2015-05-07,11903748.109794557,36831215.80112702,675137.6320087258
2015-05-08,11958153.374091199,37079737.78563867,674664.4250011022
2015-05-09,12003891.8707536,37327914.15402255,674439.9416270229
2015-05-10,12047429.720757378,37585737.53867329,674407.7225300585
2015-05-11,12097775.23782299,37884266.33558792,674708.3552942692
2015-05-12,12150552.050135342,38187548.761663444,675052.2663544931
2015-05-13,12204719.782677792,38488006.156738624,675556.5649337335
2015-05-14,12258407.741623312,38776457.794625215,675982.5347983141
2015-05-15,12312039.690244343,39054045.691328086,675927.3506000068
2015-05-16,12356553.833424479,39330524.25686783,676149.0317464484
2015-05-17,12398632.958348552,39616495.904018044,676589.0234336508
2015-05-18,12446954.165718535,39911380.15010754,676991.604922041
2015-05-19,12497684.634130714,40210766.80113164,677457.646276052
2015-05-20,12549802.45550513,40506766.62434636,678101.4042690342
2015-05-21,12601436.312738681,40789805.50132166,678680.8176416846
2015-05-22,12653077.468035992,41061138.776777744,678789.5404775963
2015-05-23,12695463.853843583,41331037.5712405,679183.6773008833
2015-05-24,12735523.132325925,41610631.22213733,679801.8446337945
2015-05-25,12782226.384503096,41899293.919792615,680385.4252014013
2015-05-26,12831676.316898083,42192371.31057206,681033.0738965835
2015-05-27,12882859.11739314,42481556.02439584,681857.0869230059
2015-05-28,12933879.761253463,42756774.82240565,682613.2258974909
2015-05-29,12985261.792981667,43019297.44158933,682892.9996882938
2015-05-30,13027496.530857477,43279824.32722276,683452.1109785762
2015-05-31,13067700.450556746,43549940.303530104,684227.9298489696
2015-06-01,13115074.59416282,43828922.623503216,684960.5289978903
2015-06-02,13165587.283560766,44111844.21207399,685747.8797336867
2015-06-03,13218159.298771432,44389976.489275485,686701.7427366732
2015-06-04,13270797.278118933,44652771.07490644,687576.9785111888
2015-06-05,13323983.842663668,44901563.74188396,687964.045499094
2015-06-06,13367894.462209841,45147563.190484226,688619.1370147367
2015-06-07,13409771.62395324,45402914.569531426,689479.0572225299
2015-06-08,13458992.250996323,45666926.58199209,690283.0391583934
2015-06-09,13511346.960895048,45934548.08510182,691128.6434887712
2015-06-10,13565660.280695809,46196794.085830905,692127.1937336151
2015-06-11,13619823.46787835,46442817.15228218,693032.6048035815
2015-06-12,13674275.864779824,46674201.03745378,693434.1364976664
2015-06-13,13718889.83632393,46902844.629366934,694088.2655158133
2015-06-14,13761061.634032844,47141629.206696756,694931.0121656854
2015-06-15,13810386.227889538,47390058.42301576,695700.5910542576
2015-06-16,13862532.017502677,47643102.2208949,696494.06187349
2015-06-17,13916294.521710943,47891640.28613099,697422.3556138147
2015-06-18,13969526.631413037,48124617.97112833,698238.6629612311
2015-06-19,14022708.836152699,48343925.09059404,698531.4783408723
2015-06-20,14065499.5779553,48562171.40528028,699058.2339284286
2015-06-21,14105539.939709239,48792954.96314234,699755.094426417
2015-06-22,14152732.895169536,49035913.41645806,700360.4471798424
