time,metric_name,metric_value
2015-03-23 00:00:00-04:00,google.calendar:num_1day_active_users,2197
2015-03-23 00:00:00-04:00,google.calendar:num_30day_active_users,6252
2015-03-23 00:00:00-04:00,google.calendar:num_7day_active_users,3953
2015-03-24 00:00:00-04:00,google.calendar:num_1day_active_users,2174
2015-03-24 00:00:00-04:00,google.calendar:num_30day_active_users,6324
2015-03-24 00:00:00-04:00,google.calendar:num_7day_active_users,4030
2015-03-25 00:00:00-04:00,google.calendar:num_1day_active_users,2190
2015-03-25 00:00:00-04:00,google.calendar:num_30day_active_users,6345
2015-03-25 00:00:00-04:00,google.calendar:num_7day_active_users,4067
2015-03-26 00:00:00-04:00,google.calendar:num_1day_active_users,2139
2015-03-26 00:00:00-04:00,google.calendar:num_30day_active_users,6393
2015-03-26 00:00:00-04:00,google.calendar:num_7day_active_users,4094
2015-03-27 00:00:00-04:00,google.calendar:num_1day_active_users,1750
2015-03-27 00:00:00-04:00,google.calendar:num_30day_active_users,6334
2015-03-27 00:00:00-04:00,google.calendar:num_7day_active_users,4040
2015-03-28 00:00:00-04:00,google.calendar:num_1day_active_users,690
2015-03-28 00:00:00-04:00,google.calendar:num_30day_active_users,6278
2015-03-28 00:00:00-04:00,google.calendar:num_7day_active_users,4057
2015-03-29 00:00:00-04:00,google.calendar:num_1day_active_users,915
2015-03-29 00:00:00-04:00,google.calendar:num_30day_active_users,6229
2015-03-29 00:00:00-04:00,google.calendar:num_7day_active_users,4057
2015-03-30 00:00:00-04:00,google.calendar:num_1day_active_users,2154
2015-03-30 00:00:00-04:00,google.calendar:num_30day_active_users,6316
2015-03-30 00:00:00-04:00,google.calendar:num_7day_active_users,4057
2015-03-31 00:00:00-04:00,google.calendar:num_1day_active_users,2174
2015-03-31 00:00:00-04:00,google.calendar:num_30day_active_users,6382
2015-03-31 00:00:00-04:00,google.calendar:num_7day_active_users,4072
2015-04-01 00:00:00-04:00,google.calendar:num_1day_active_users,2051
2015-04-01 00:00:00-04:00,google.calendar:num_30day_active_users,6383
2015-04-01 00:00:00-04:00,google.calendar:num_7day_active_users,3992
2015-04-02 00:00:00-04:00,google.calendar:num_1day_active_users,1957
2015-04-02 00:00:00-04:00,google.calendar:num_30day_active_users,6367
2015-04-02 00:00:00-04:00,google.calendar:num_7day_active_users,3905
2015-04-03 00:00:00-04:00,google.calendar:num_1day_active_users,782
2015-04-03 00:00:00-04:00,google.calendar:num_30day_active_users,6300
2015-04-03 00:00:00-04:00,google.calendar:num_7day_active_users,3791
2015-04-04 00:00:00-04:00,google.calendar:num_1day_active_users,530
2015-04-04 00:00:00-04:00,google.calendar:num_30day_active_users,6240
2015-04-04 00:00:00-04:00,google.calendar:num_7day_active_users,3752
2015-04-05 00:00:00-04:00,google.calendar:num_1day_active_users,725
2015-04-05 00:00:00-04:00,google.calendar:num_30day_active_users,6192
2015-04-05 00:00:00-04:00,google.calendar:num_7day_active_users,3711
2015-04-06 00:00:00-04:00,google.calendar:num_1day_active_users,2039
2015-04-06 00:00:00-04:00,google.calendar:num_30day_active_users,6280
2015-04-06 00:00:00-04:00,google.calendar:num_7day_active_users,3698
2015-04-07 00:00:00-04:00,google.calendar:num_1day_active_users,2042
2015-04-07 00:00:00-04:00,google.calendar:num_30day_active_users,6363
2015-04-07 00:00:00-04:00,google.calendar:num_7day_active_users,3652
2015-04-08 00:00:00-04:00,google.calendar:num_1day_active_users,2135
